#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.42508874988067      +0.13311373786007         1            32       +0.0283744803       inf
           2        -74.86224045247951      +0.56284829740116         2            64       +0.0577886662       inf
           3        -75.58002849465171      -0.71778804217220         3            96       +0.0094058294       inf
           4        -75.59242634124134      -0.01239784658962         4           128       +0.0053993877       inf
           5        -75.59723369040378      -0.00480734916245         5           160       +0.0028746834       inf
           6        -75.59902076053933      -0.00178707013555         6           192       +0.0002661148       inf
           7        -75.59902289398562      -0.00000213344629         7           224       +0.0002487005       inf
           8        -75.59903486694095      -0.00001197295533         8           256       +0.0001315016       inf
           9        -75.59903575155363      -0.00000088461267         9           288       +0.0001121485       inf
          10        -75.59903566620079      +0.00000008535284        10           320       +0.0001130911       inf
          11        -75.59903575462802      -0.00000008842723        11           352       +0.0001118900       inf
          12        -75.59903575569777      -0.00000000106975        12           384       +0.0001117884       inf
          13        -75.59903575516418      +0.00000000053359        13           416       +0.0001118032       inf
          14        -75.59903575630842      -0.00000000114424        14           448       +0.0001117738       inf
          15        -75.59903575628579      +0.00000000002264        15           480       +0.0001117739       inf
          16        -75.59903575629835      -0.00000000001256        16           512       +0.0001117743       inf
          17        -75.59903575627801      +0.00000000002034        17           544       +0.0001117754       inf
          18        -75.59903575627851      -0.00000000000050        18           576       +0.0001117753       inf
