#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.58805470807874      -0.02985222033800         1            32       +0.0028778824       inf
           2        -75.59581713044045      -0.00776242236171         2            64       +0.0014233121       inf
           3        -75.59891912056909      -0.00310199012864         3            96       +0.0002428823       inf
           4        -75.59903054360666      -0.00011142303757         4           128       +0.0000532120       inf
           5        -75.59903595676714      -0.00000541316048         5           160       +0.0000188477       inf
           6        -75.59903642897183      -0.00000047220469         6           192       +0.0000053353       inf
           7        -75.59903648282337      -0.00000005385154         7           224       +0.0000026583       inf
           8        -75.59903648330582      -0.00000000048246         8           256       +0.0000008062       inf
           9        -75.59903648331840      -0.00000000001258         9           288       +0.0000008052       inf
          10        -75.59903648324104      +0.00000000007736        10           320       +0.0000008174       inf
          11        -75.59903648324664      -0.00000000000560        11           352       +0.0000008154       inf
          12        -75.59903648323403      +0.00000000001261        12           384       +0.0000008161       inf
          13        -75.59903648323193      +0.00000000000210        13           416       +0.0000008162       inf
          14        -75.59903648323174      +0.00000000000018        14           448       +0.0000008163       inf
