#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.59741648884155      -0.03921400110080         1            32       +0.0000287853       inf
           2        -75.59886986219301      -0.00145337335147         2            64       +0.0000058215       inf
           3        -75.59903183593441      -0.00016197374140         3            96       +0.0000009875       inf
           4        -75.59903645328036      -0.00000461734595         4           128       +0.0000000984       inf
           5        -75.59903648186773      -0.00000002858737         5           160       +0.0000000213       inf
           6        -75.59903648128819      +0.00000000057953         6           192       +0.0000000068       inf
           7        -75.59903648170047      -0.00000000041227         7           224       +0.0000000071       inf
           8        -75.59903648171084      -0.00000000001037         8           256       +0.0000000070       inf
           9        -75.59903648171810      -0.00000000000726         9           288       +0.0000000070       inf
          10        -75.59903648171860      -0.00000000000050        10           320       +0.0000000070       inf
