#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5946739790      -0.0364714913         1            32       +0.0031237419       2.178e+11
           2        -75.5971882788      -0.0025142998         2            64       +0.0012344534       4.356e+11
           3        -75.5954343976      +0.0017538812         3            96       +0.0009804941       6.534e+11
           4        -75.5971138533      -0.0016794557         4           128       +0.0009769695       8.712e+11
           5        -75.5980710239      -0.0009571706         5           160       +0.0008577071       1.089e+12
           6        -75.5973513476      +0.0007196763         6           192       +0.0008571085       1.307e+12
           7        -75.5972295935      +0.0001217541         7           224       +0.0009213818       1.525e+12
           8        -75.5978127123      -0.0005831188         8           256       +0.0007754375       1.742e+12
           9        -75.5969546304      +0.0008580820         9           288       +0.0008260261       1.960e+12
          10        -75.5967823273      +0.0001723031        10           320       +0.0007698708       2.178e+12
          11        -75.5973589895      -0.0005766622        11           352       +0.0007850899       2.396e+12
          12        -75.5982142499      -0.0008552605        12           384       +0.0008085442       2.614e+12
          13        -75.5971887493      +0.0010255006        13           416       +0.0007848775       2.831e+12
          14        -75.5966609431      +0.0005278062        14           448       +0.0009594712       3.049e+12
          15        -75.5968076095      -0.0001466664        15           480       +0.0007502803       3.267e+12
          16        -75.5968498381      -0.0000422286        16           512       +0.0008362570       3.485e+12
          17        -75.5978093225      -0.0009594844        17           544       +0.0008899232       3.703e+12
          18        -75.5960854666      +0.0017238560        18           576       +0.0008802885       3.920e+12
          19        -75.5954181729      +0.0006672937        19           608       +0.0010362364       4.138e+12
          20        -75.5965162498      -0.0010980769        20           640       +0.0008923161       4.356e+12
          21        -75.5972835547      -0.0007673049        21           672       +0.0009513957       4.574e+12
          22        -75.5974346021      -0.0001510474        22           704       +0.0009078975       4.792e+12
          23        -75.5974275046      +0.0000070974        23           736       +0.0007941577       5.009e+12
          24        -75.5971909774      +0.0002365273        24           768       +0.0008778291       5.227e+12
          25        -75.5958650020      +0.0013259753        25           800       +0.0010046758       5.445e+12
