#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4227046298      +0.1354978580         1            32       +0.0000287855       2.178e+23
           2        -74.8227198713      +0.5999847585         2            64       +0.0000592426       4.356e+23
           3        -75.5695825893      -0.7468627181         3            96       +0.0000117110       6.534e+23
           4        -75.5896209175      -0.0200383281         4           128       +0.0000063793       8.712e+23
           5        -75.5932126443      -0.0035917268         5           160       +0.0000050429       1.089e+24
           6        -75.5989925090      -0.0057798647         6           192       +0.0000004612       1.307e+24
           7        -75.5990092052      -0.0000166962         7           224       +0.0000003712       1.525e+24
           8        -75.5990312087      -0.0000220035         8           256       +0.0000001571       1.742e+24
           9        -75.5990360285      -0.0000048198         9           288       +0.0000000434       1.960e+24
          10        -75.5990364285      -0.0000004000        10           320       +0.0000000160       2.178e+24
          11        -75.5990364763      -0.0000000478        11           352       +0.0000000064       2.396e+24
          12        -75.5990364842      -0.0000000079        12           384       +0.0000000025       2.614e+24
          13        -75.5990364851      -0.0000000009        13           416       +0.0000000015       2.831e+24
          14        -75.5990364850      +0.0000000001        14           448       +0.0000000019       3.049e+24
          15        -75.5990364851      -0.0000000001        15           480       +0.0000000012       3.267e+24
          16        -75.5990364852      -0.0000000000        16           512       +0.0000000012       3.485e+24
          17        -75.5990364851      +0.0000000000        17           544       +0.0000000015       3.703e+24
          18        -75.5990364849      +0.0000000002        18           576       +0.0000000017       3.920e+24
          19        -75.5990364853      -0.0000000004        19           608       +0.0000000013       4.138e+24
          20        -75.5990364853      +0.0000000000        20           640       +0.0000000011       4.356e+24
          21        -75.5990364852      +0.0000000001        21           672       +0.0000000013       4.574e+24
          22        -75.5990364852      +0.0000000000        22           704       +0.0000000014       4.792e+24
          23        -75.5990364852      +0.0000000000        23           736       +0.0000000014       5.009e+24
          24        -75.5990364852      +0.0000000000        24           768       +0.0000000016       5.227e+24
          25        -75.5990364852      -0.0000000000        25           800       +0.0000000013       5.445e+24
