#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5838584639      -0.0256559762         1            32       +0.0010331664       6.600e+09
           2        -75.5930446432      -0.0091861793         2            64       +0.0011247045       1.320e+10
           3        -75.5922830754      +0.0007615678         3            96       +0.0007481995       1.980e+10
           4        -75.5903406316      +0.0019424438         4           128       +0.0010824202       2.640e+10
           5        -75.5912733770      -0.0009327455         5           160       +0.0008729002       3.300e+10
           6        -75.5918285157      -0.0005551386         6           192       +0.0009998309       3.960e+10
           7        -75.5879087753      +0.0039197404         7           224       +0.0009130924       4.620e+10
           8        -75.5857747922      +0.0021339831         8           256       +0.0008012852       5.280e+10
           9        -75.5905931991      -0.0048184069         9           288       +0.0007976561       5.940e+10
          10        -75.5934573734      -0.0028641743        10           320       +0.0008623793       6.600e+10
          11        -75.5894707718      +0.0039866016        11           352       +0.0008383135       7.260e+10
          12        -75.5912882009      -0.0018174291        12           384       +0.0008207699       7.920e+10
          13        -75.5926437995      -0.0013555986        13           416       +0.0008262496       8.580e+10
          14        -75.5933584642      -0.0007146647        14           448       +0.0009422229       9.240e+10
          15        -75.5909412800      +0.0024171842        15           480       +0.0008901616       9.900e+10
          16        -75.5898155652      +0.0011257148        16           512       +0.0007196654       1.056e+11
          17        -75.5844964344      +0.0053191309        17           544       +0.0009462398       1.122e+11
          18        -75.5925328765      -0.0080364421        18           576       +0.0007953886       1.188e+11
          19        -75.5917201198      +0.0008127567        19           608       +0.0009107280       1.254e+11
          20        -75.5963835135      -0.0046633937        20           640       +0.0006942274       1.320e+11
          21        -75.5930605916      +0.0033229219        21           672       +0.0007311285       1.386e+11
          22        -75.5835577988      +0.0095027928        22           704       +0.0008808359       1.452e+11
          23        -75.5847506507      -0.0011928520        23           736       +0.0008120555       1.518e+11
          24        -75.5917090997      -0.0069584489        24           768       +0.0008823326       1.584e+11
          25        -75.5894239923      +0.0022851073        25           800       +0.0008961660       1.650e+11
