#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5974157244      -0.0392132366         1            32       +0.0008495467       2.178e+23
           2        -75.5988696976      -0.0014539733         2            64       +0.0001718505       4.356e+23
           3        -75.5990318320      -0.0001621344         3            96       +0.0000291561       6.534e+23
           4        -75.5990364534      -0.0000046214         4           128       +0.0000029084       8.712e+23
           5        -75.5990364820      -0.0000000286         5           160       +0.0000006280       1.089e+24
           6        -75.5990364814      +0.0000000005         6           192       +0.0000002026       1.307e+24
           7        -75.5990364818      -0.0000000004         7           224       +0.0000002123       1.525e+24
           8        -75.5990364819      -0.0000000000         8           256       +0.0000002088       1.742e+24
           9        -75.5990364819      -0.0000000000         9           288       +0.0000002081       1.960e+24
          10        -75.5990364819      +0.0000000000        10           320       +0.0000002078       2.178e+24
          11        -75.5990364819      +0.0000000000        11           352       +0.0000002079       2.396e+24
          12        -75.5990364818      +0.0000000000        12           384       +0.0000002077       2.614e+24
          13        -75.5990364818      +0.0000000000        13           416       +0.0000002079       2.831e+24
          14        -75.5990364819      -0.0000000000        14           448       +0.0000002079       3.049e+24
          15        -75.5990364819      +0.0000000000        15           480       +0.0000002082       3.267e+24
          16        -75.5990364818      +0.0000000000        16           512       +0.0000002080       3.485e+24
          17        -75.5990364818      -0.0000000000        17           544       +0.0000002079       3.703e+24
          18        -75.5990364818      -0.0000000000        18           576       +0.0000002079       3.920e+24
          19        -75.5990364818      -0.0000000000        19           608       +0.0000002080       4.138e+24
          20        -75.5990364818      +0.0000000000        20           640       +0.0000002079       4.356e+24
          21        -75.5990364818      +0.0000000000        21           672       +0.0000002079       4.574e+24
          22        -75.5990364819      -0.0000000000        22           704       +0.0000002080       4.792e+24
          23        -75.5990364818      +0.0000000000        23           736       +0.0000002082       5.009e+24
          24        -75.5990364818      -0.0000000000        24           768       +0.0000002082       5.227e+24
          25        -75.5990364818      +0.0000000000        25           800       +0.0000002083       5.445e+24
