#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4227137112      +0.1354887766         1            32       +0.0008494999       2.178e+15
           2        -74.8231508460      +0.5995628651         2            64       +0.0017476885       4.356e+15
           3        -75.5696531594      -0.7465023133         3            96       +0.0003447108       6.534e+15
           4        -75.5899091853      -0.0202560259         4           128       +0.0001872140       8.712e+15
           5        -75.5937331062      -0.0038239209         5           160       +0.0001428824       1.089e+16
           6        -75.5982368984      -0.0045037922         6           192       +0.0000568701       1.307e+16
           7        -75.5982912958      -0.0000543974         7           224       +0.0000557125       1.525e+16
           8        -75.5983393286      -0.0000480328         8           256       +0.0000546887       1.742e+16
           9        -75.5983557220      -0.0000163934         9           288       +0.0000555181       1.960e+16
          10        -75.5989009720      -0.0005452500        10           320       +0.0000275552       2.178e+16
          11        -75.5987848423      +0.0001161297        11           352       +0.0000316969       2.396e+16
          12        -75.5989399069      -0.0001550645        12           384       +0.0000240342       2.614e+16
          13        -75.5989674231      -0.0000275163        13           416       +0.0000220335       2.831e+16
          14        -75.5989525490      +0.0000148741        14           448       +0.0000245241       3.049e+16
          15        -75.5989433714      +0.0000091776        15           480       +0.0000242271       3.267e+16
          16        -75.5989345144      +0.0000088570        16           512       +0.0000262759       3.485e+16
          17        -75.5989528788      -0.0000183644        17           544       +0.0000231865       3.703e+16
          18        -75.5988537331      +0.0000991458        18           576       +0.0000390874       3.920e+16
          19        -75.5989801843      -0.0001264512        19           608       +0.0000184442       4.138e+16
          20        -75.5989795527      +0.0000006317        20           640       +0.0000229333       4.356e+16
          21        -75.5989833202      -0.0000037675        21           672       +0.0000191285       4.574e+16
          22        -75.5989414702      +0.0000418500        22           704       +0.0000266439       4.792e+16
          23        -75.5989581772      -0.0000167070        23           736       +0.0000226389       5.009e+16
          24        -75.5989928203      -0.0000346431        24           768       +0.0000159814       5.227e+16
          25        -75.5989537819      +0.0000390384        25           800       +0.0000261835       5.445e+16
