#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5269653716      +0.0312371162         1            32       +0.0283739432       6.600e+13
           2        -75.4720913851      +0.0548739865         2            64       +0.0375416709       1.320e+14
           3        -75.5962898334      -0.1241984483         3            96       +0.0068734843       1.980e+14
           4        -75.5969646794      -0.0006748460         4           128       +0.0099173083       2.640e+14
           5        -75.5980301260      -0.0010654465         5           160       +0.0042469135       3.300e+14
           6        -75.5981691809      -0.0001390550         6           192       +0.0035608809       3.960e+14
           7        -75.5990243072      -0.0008551263         7           224       +0.0007978973       4.620e+14
           8        -75.5989669015      +0.0000574057         8           256       +0.0009258760       5.280e+14
           9        -75.5990288606      -0.0000619591         9           288       +0.0005835163       5.940e+14
          10        -75.5990339837      -0.0000051231        10           320       +0.0002850536       6.600e+14
          11        -75.5990349469      -0.0000009632        11           352       +0.0003107400       7.260e+14
          12        -75.5990339546      +0.0000009923        12           384       +0.0001951061       7.920e+14
          13        -75.5990357541      -0.0000017995        13           416       +0.0001371955       8.580e+14
          14        -75.5990355903      +0.0000001638        14           448       +0.0001405514       9.240e+14
          15        -75.5990357146      -0.0000001243        15           480       +0.0001405599       9.900e+14
          16        -75.5990357340      -0.0000000194        16           512       +0.0001244006       1.056e+15
          17        -75.5990357322      +0.0000000017        17           544       +0.0001194069       1.122e+15
          18        -75.5990357719      -0.0000000397        18           576       +0.0001241696       1.188e+15
          19        -75.5990357690      +0.0000000029        19           608       +0.0001185375       1.254e+15
          20        -75.5990357567      +0.0000000123        20           640       +0.0001168103       1.320e+15
          21        -75.5990357537      +0.0000000029        21           672       +0.0001175570       1.386e+15
          22        -75.5990357915      -0.0000000378        22           704       +0.0001161481       1.452e+15
          23        -75.5990357935      -0.0000000020        23           736       +0.0001161655       1.518e+15
          24        -75.5990358383      -0.0000000448        24           768       +0.0001132214       1.584e+15
          25        -75.5990358489      -0.0000000106        25           800       +0.0001144971       1.650e+15
