#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.4227025254      +0.1354999624         1            32       +0.0000287859       2.178e+19
           2        -74.8229324722      +0.5997700532         2            64       +0.0000592327       4.356e+19
           3        -75.5696220560      -0.7466895838         3            96       +0.0000117104       6.534e+19
           4        -75.5895408670      -0.0199188110         4           128       +0.0000063911       8.712e+19
           5        -75.5932821945      -0.0037413275         5           160       +0.0000050035       1.089e+20
           6        -75.5989311659      -0.0056489714         6           192       +0.0000006950       1.307e+20
           7        -75.5989047208      +0.0000264450         7           224       +0.0000007866       1.525e+20
           8        -75.5990276452      -0.0001229244         8           256       +0.0000002394       1.742e+20
           9        -75.5990315866      -0.0000039413         9           288       +0.0000001660       1.960e+20
          10        -75.5990319750      -0.0000003884        10           320       +0.0000001540       2.178e+20
          11        -75.5990334800      -0.0000015050        11           352       +0.0000001497       2.396e+20
          12        -75.5990340334      -0.0000005534        12           384       +0.0000001346       2.614e+20
          13        -75.5990348322      -0.0000007987        13           416       +0.0000001229       2.831e+20
          14        -75.5990347758      +0.0000000564        14           448       +0.0000001290       3.049e+20
          15        -75.5990332749      +0.0000015009        15           480       +0.0000001818       3.267e+20
          16        -75.5990348029      -0.0000015280        16           512       +0.0000001177       3.485e+20
          17        -75.5990345131      +0.0000002898        17           544       +0.0000001258       3.703e+20
          18        -75.5990340741      +0.0000004390        18           576       +0.0000001450       3.920e+20
          19        -75.5990340769      -0.0000000028        19           608       +0.0000001535       4.138e+20
          20        -75.5990340603      +0.0000000166        20           640       +0.0000001546       4.356e+20
          21        -75.5990342850      -0.0000002247        21           672       +0.0000001382       4.574e+20
          22        -75.5990329903      +0.0000012947        22           704       +0.0000001765       4.792e+20
          23        -75.5990354415      -0.0000024512        23           736       +0.0000001166       5.009e+20
          24        -75.5990353996      +0.0000000419        24           768       +0.0000001179       5.227e+20
          25        -75.5990353596      +0.0000000399        25           800       +0.0000001259       5.445e+20
