#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5974439624      -0.0392414746         1            32       +0.0014388647       2.178e+15
           2        -75.5988844214      -0.0014404591         2            64       +0.0002861327       4.356e+15
           3        -75.5990258850      -0.0001414635         3            96       +0.0000510999       6.534e+15
           4        -75.5990337894      -0.0000079044         4           128       +0.0000167026       8.712e+15
           5        -75.5990346984      -0.0000009090         5           160       +0.0000141151       1.089e+16
           6        -75.5990338242      +0.0000008742         6           192       +0.0000111219       1.307e+16
           7        -75.5990336124      +0.0000002118         7           224       +0.0000100549       1.525e+16
           8        -75.5990331033      +0.0000005092         8           256       +0.0000112634       1.742e+16
           9        -75.5990320289      +0.0000010743         9           288       +0.0000111082       1.960e+16
          10        -75.5990342266      -0.0000021977        10           320       +0.0000107205       2.178e+16
          11        -75.5990343832      -0.0000001566        11           352       +0.0000106907       2.396e+16
          12        -75.5990323917      +0.0000019916        12           384       +0.0000107007       2.614e+16
          13        -75.5990313171      +0.0000010746        13           416       +0.0000105609       2.831e+16
          14        -75.5990327366      -0.0000014195        14           448       +0.0000107487       3.049e+16
          15        -75.5990339054      -0.0000011688        15           480       +0.0000089731       3.267e+16
          16        -75.5990339575      -0.0000000522        16           512       +0.0000091875       3.485e+16
          17        -75.5990317682      +0.0000021893        17           544       +0.0000108500       3.703e+16
          18        -75.5990324273      -0.0000006591        18           576       +0.0000078448       3.920e+16
          19        -75.5990337607      -0.0000013334        19           608       +0.0000095584       4.138e+16
          20        -75.5990339900      -0.0000002293        20           640       +0.0000095330       4.356e+16
          21        -75.5990341446      -0.0000001546        21           672       +0.0000094382       4.574e+16
          22        -75.5990330418      +0.0000011027        22           704       +0.0000096880       4.792e+16
          23        -75.5990346865      -0.0000016447        23           736       +0.0000093493       5.009e+16
          24        -75.5990341153      +0.0000005712        24           768       +0.0000116212       5.227e+16
          25        -75.5990335528      +0.0000005625        25           800       +0.0000112995       5.445e+16
