#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.7587973777      -0.0369782352         1           117       +0.0220640719       inf
           2        -230.7598232055      -0.0010258278         2           234       +0.0171683021       inf
           3        -230.7884576764      -0.0286344708         3           351       +0.0064804402       inf
           4        -230.7897683643      -0.0013106880         4           468       +0.0033649452       inf
           5        -230.7901465367      -0.0003781724         5           585       +0.0014422031       inf
           6        -230.7902010146      -0.0000544779         6           702       +0.0007186610       inf
           7        -230.7902118749      -0.0000108603         7           819       +0.0002691639       inf
           8        -230.7902135197      -0.0000016448         8           936       +0.0000824028       inf
           9        -230.7902136297      -0.0000001100         9          1053       +0.0000595672       inf
          10        -230.7902136658      -0.0000000361        10          1170       +0.0000522980       inf
          11        -230.7902136833      -0.0000000175        11          1287       +0.0000499410       inf
          12        -230.7902136884      -0.0000000051        12          1404       +0.0000492321       inf
