#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.6057249396      +0.1160942030         1           117       +0.1028228830       inf
           2        -230.2945660957      +0.3111588439         2           234       +0.1684427847       inf
           3        -230.7073738956      -0.4128077999         3           351       +0.0772307630       inf
           4        -230.6703071080      +0.0370667876         4           468       +0.0841059591       inf
           5        -230.6983564966      -0.0280493886         5           585       +0.0756190405       inf
           6        -230.7573655575      -0.0590090609         6           702       +0.0481957131       inf
           7        -230.7738552568      -0.0164896993         7           819       +0.0272732208       inf
           8        -230.7727698947      +0.0010853622         8           936       +0.0286386943       inf
           9        -230.7890314041      -0.0162615095         9          1053       +0.0095850650       inf
          10        -230.7880155391      +0.0010158650        10          1170       +0.0102458663       inf
          11        -230.7881949716      -0.0001794325        11          1287       +0.0098967796       inf
          12        -230.7892840093      -0.0010890377        12          1404       +0.0056279409       inf
          13        -230.7897776195      -0.0004936102        13          1521       +0.0034587183       inf
          14        -230.7898343581      -0.0000567385        14          1638       +0.0025777043       inf
          15        -230.7898725744      -0.0000382163        15          1755       +0.0020334479       inf
          16        -230.7898735327      -0.0000009583        16          1872       +0.0018826383       inf
          17        -230.7898731020      +0.0000004306        17          1989       +0.0019084803       inf
          18        -230.7898723522      +0.0000007498        18          2106       +0.0018922458       inf
          19        -230.7898724285      -0.0000000763        19          2223       +0.0018964612       inf
          20        -230.7898725311      -0.0000001026        20          2340       +0.0018990620       inf
          21        -230.7898734361      -0.0000009050        21          2457       +0.0018943172       inf
          22        -230.7898721875      +0.0000012485        22          2574       +0.0018985951       inf
          23        -230.7898722447      -0.0000000572        23          2691       +0.0019006650       inf
          24        -230.7898735887      -0.0000013440        24          2808       +0.0018936516       inf
          25        -230.7898736165      -0.0000000278        25          2925       +0.0018943372       inf
          26        -230.7898736550      -0.0000000385        26          3042       +0.0018917216       inf
          27        -230.7898735426      +0.0000001124        27          3159       +0.0018915227       inf
          28        -230.7898735629      -0.0000000203        28          3276       +0.0018929036       inf
          29        -230.7898736364      -0.0000000735        29          3393       +0.0018908807       inf
          30        -230.7898736835      -0.0000000471        30          3510       +0.0018916041       inf
          31        -230.7898736881      -0.0000000047        31          3627       +0.0018915813       inf
