#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.4088733331      +0.3129458094         1           117       +0.1090720688       inf
           2        -229.5858011954      +0.8230721378         2           234       +0.2377709566       inf
           3        -230.5075564923      -0.9217552969         3           351       +0.1067467662       inf
           4        -230.5350746239      -0.0275181316         4           468       +0.0883421232       inf
           5        -230.4366391079      +0.0984355160         5           585       +0.0993512482       inf
           6        -230.7546392153      -0.3180001074         6           702       +0.0458231434       inf
           7        -230.7714910790      -0.0168518638         7           819       +0.0219432297       inf
           8        -230.7774405082      -0.0059494291         8           936       +0.0180319631       inf
           9        -230.7827051098      -0.0052646016         9          1053       +0.0156911399       inf
          10        -230.7876295166      -0.0049244068        10          1170       +0.0074651847       inf
          11        -230.7898024590      -0.0021729424        11          1287       +0.0031352532       inf
          12        -230.7892514001      +0.0005510589        12          1404       +0.0043788646       inf
          13        -230.7901975475      -0.0009461474        13          1521       +0.0012662548       inf
          14        -230.7902074741      -0.0000099266        14          1638       +0.0010397694       inf
          15        -230.7902010023      +0.0000064718        15          1755       +0.0011099972       inf
          16        -230.7902133600      -0.0000123577        16          1872       +0.0009838786       inf
          17        -230.7902127164      +0.0000006436        17          1989       +0.0010063597       inf
          18        -230.7902135636      -0.0000008471        18          2106       +0.0009781143       inf
          19        -230.7902133799      +0.0000001837        19          2223       +0.0009854095       inf
          20        -230.7902135601      -0.0000001802        20          2340       +0.0009775562       inf
          21        -230.7902136024      -0.0000000423        21          2457       +0.0009766462       inf
          22        -230.7902135759      +0.0000000265        22          2574       +0.0009766222       inf
          23        -230.7902136993      -0.0000001234        23          2691       +0.0009729758       inf
          24        -230.7902136051      +0.0000000942        24          2808       +0.0009753737       inf
          25        -230.7902137291      -0.0000001240        25          2925       +0.0009726603       inf
          26        -230.7902137232      +0.0000000060        26          3042       +0.0009727909       inf
