#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.7437620618      -0.0219429192         1           117       +0.1098188237       inf
           2        -230.7422795709      +0.0014824909         2           234       +0.0907120960       inf
           3        -230.7444630800      -0.0021835090         3           351       +0.0903803604       inf
           4        -230.7446053678      -0.0001422878         4           468       +0.0900589727       inf
           5        -230.7446651702      -0.0000598024         5           585       +0.0899356703       inf
           6        -230.7446851548      -0.0000199846         6           702       +0.0899228757       inf
           7        -230.7446859908      -0.0000008360         7           819       +0.0899191156       inf
           8        -230.7446861230      -0.0000001322         8           936       +0.0899197196       inf
           9        -230.7446857759      +0.0000003470         9          1053       +0.0899199944       inf
          10        -230.7446857544      +0.0000000215        10          1170       +0.0899200691       inf
          11        -230.7446857520      +0.0000000025        11          1287       +0.0899200674       inf
