#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.2106819279      +0.5111372147         1           117       +0.1090720688       inf
           2        -229.6665047474      +0.5441771805         2           234       +0.2186494583       inf
           3        -229.3335973136      +0.3329074337         3           351       +0.2284066319       inf
           4        -229.5967185013      -0.2631211877         4           468       +0.2281230789       inf
           5        -229.5967512378      -0.0000327365         5           585       +0.2281390317       inf
           6        -229.7174965760      -0.1207453383         6           702       +0.2161019996       inf
           7        -229.9814350201      -0.2639384441         7           819       +0.1803938084       inf
           8        -229.9724261344      +0.0090088857         8           936       +0.1745339768       inf
           9        -230.0641543841      -0.0917282497         9          1053       +0.1762828113       inf
          10        -230.1454752855      -0.0813209014        10          1170       +0.1786540624       inf
          11        -230.0912835400      +0.0541917455        11          1287       +0.1684580055       inf
          12        -230.0625048243      +0.0287787157        12          1404       +0.1638527246       inf
          13        -230.2330079757      -0.1705031514        13          1521       +0.1525440523       inf
          14        -230.2636890056      -0.0306810299        14          1638       +0.1390075182       inf
          15        -230.2730026289      -0.0093136234        15          1755       +0.1293773888       inf
          16        -230.1761510922      +0.0968515368        16          1872       +0.1067730687       inf
          17        -230.2350205907      -0.0588694986        17          1989       +0.0861865162       inf
          18        -230.2502342496      -0.0152136589        18          2106       +0.0886247654       inf
          19        -230.2508482218      -0.0006139722        19          2223       +0.0831174567       inf
          20        -230.2510943963      -0.0002461745        20          2340       +0.0826892223       inf
          21        -230.2713885743      -0.0202941780        21          2457       +0.0885711446       inf
          22        -230.2745096854      -0.0031211111        22          2574       +0.0854235555       inf
          23        -230.2947880223      -0.0202783370        23          2691       +0.0891477252       inf
          24        -230.3028323432      -0.0080443209        24          2808       +0.0871362301       inf
          25        -230.3041160774      -0.0012837342        25          2925       +0.0895239643       inf
          26        -230.3101786236      -0.0060625462        26          3042       +0.0896567336       inf
          27        -230.3218269870      -0.0116483634        27          3159       +0.0904358972       inf
          28        -230.3126111498      +0.0092158372        28          3276       +0.0900969628       inf
          29        -230.3206851578      -0.0080740081        29          3393       +0.0872814348       inf
          30        -230.3235536187      -0.0028684609        30          3510       +0.0812067832       inf
          31        -230.3264171558      -0.0028635370        31          3627       +0.0764733550       inf
          32        -230.3266750794      -0.0002579236        32          3744       +0.0737054533       inf
          33        -230.3348417505      -0.0081666712        33          3861       +0.0744937988       inf
          34        -230.3326937556      +0.0021479949        34          3978       +0.0699893041       inf
          35        -230.3359152851      -0.0032215295        35          4095       +0.0706960856       inf
          36        -230.3338589083      +0.0020563768        36          4212       +0.0672144477       inf
          37        -230.3346432158      -0.0007843075        37          4329       +0.0703979092       inf
          38        -230.3324195928      +0.0022236230        38          4446       +0.0702467043       inf
          39        -230.3320888555      +0.0003307373        39          4563       +0.0670222441       inf
          40        -230.3316705613      +0.0004182941        40          4680       +0.0667243293       inf
          41        -230.3299327083      +0.0017378530        41          4797       +0.0626412498       inf
          42        -230.3290514782      +0.0008812301        42          4914       +0.0616243312       inf
          43        -230.3292505057      -0.0001990274        43          5031       +0.0620842553       inf
          44        -230.3308160128      -0.0015655071        44          5148       +0.0632469231       inf
          45        -230.3331657857      -0.0023497729        45          5265       +0.0648062108       inf
          46        -230.3341613005      -0.0009955148        46          5382       +0.0643830570       inf
          47        -230.3363058600      -0.0021445596        47          5499       +0.0659738652       inf
          48        -230.3394310252      -0.0031251651        48          5616       +0.0673945346       inf
          49        -230.3364731151      +0.0029579101        49          5733       +0.0655450757       inf
          50        -230.3318785294      +0.0045945856        50          5850       +0.0630767204       inf
          51        -230.3280256674      +0.0038528620        51          5967       +0.0611306958       inf
          52        -230.3292352664      -0.0012095989        52          6084       +0.0618233417       inf
          53        -230.3361307641      -0.0068954978        53          6201       +0.0656156658       inf
          54        -230.3424840699      -0.0063533058        54          6318       +0.0682829311       inf
          55        -230.3405669962      +0.0019170737        55          6435       +0.0675305126       inf
          56        -230.3401464273      +0.0004205689        56          6552       +0.0674528507       inf
          57        -230.3407571368      -0.0006107095        57          6669       +0.0678361280       inf
          58        -230.3396342718      +0.0011228650        58          6786       +0.0671179342       inf
          59        -230.3390048635      +0.0006294082        59          6903       +0.0667889151       inf
          60        -230.3389263367      +0.0000785269        60          7020       +0.0667356471       inf
          61        -230.3351819541      +0.0037443825        61          7137       +0.0645263128       inf
          62        -230.3209883086      +0.0141936456        62          7254       +0.0563410156       inf
          63        -230.3169232468      +0.0040650618        63          7371       +0.0544125770       inf
          64        -230.3144591407      +0.0024641061        64          7488       +0.0538548488       inf
          65        -230.3203563153      -0.0058971746        65          7605       +0.0561542298       inf
          66        -230.3268105764      -0.0064542611        66          7722       +0.0593305153       inf
          67        -230.3275618415      -0.0007512651        67          7839       +0.0598215014       inf
          68        -230.3262445259      +0.0013173156        68          7956       +0.0591186700       inf
          69        -230.3243955441      +0.0018489818        69          8073       +0.0581491054       inf
          70        -230.3244692060      -0.0000736619        70          8190       +0.0580660667       inf
          71        -230.3214796015      +0.0029896044        71          8307       +0.0564199633       inf
          72        -230.3369068009      -0.0154271994        72          8424       +0.0648836462       inf
          73        -230.3360001908      +0.0009066101        73          8541       +0.0642428558       inf
          74        -230.3253595901      +0.0106406007        74          8658       +0.0577946602       inf
          75        -230.3312150861      -0.0058554960        75          8775       +0.0615399832       inf
          76        -230.3368484844      -0.0056333983        76          8892       +0.0658586918       inf
          77        -230.3347318090      +0.0021166754        77          9009       +0.0641125365       inf
          78        -230.3330056809      +0.0017261281        78          9126       +0.0626438423       inf
          79        -230.3300822092      +0.0029234717        79          9243       +0.0612293136       inf
          80        -230.3303724411      -0.0002902319        80          9360       +0.0613888756       inf
          81        -230.3306489317      -0.0002764906        81          9477       +0.0615717195       inf
          82        -230.3318835720      -0.0012346404        82          9594       +0.0621521283       inf
          83        -230.3325028280      -0.0006192559        83          9711       +0.0623232666       inf
          84        -230.3323848040      +0.0001180239        84          9828       +0.0622781720       inf
          85        -230.3325452053      -0.0001604012        85          9945       +0.0623311268       inf
          86        -230.3274863379      +0.0050588673        86         10062       +0.0589473402       inf
          87        -230.3273934123      +0.0000929256        87         10179       +0.0592935214       inf
          88        -230.3380159169      -0.0106225045        88         10296       +0.0664545196       inf
          89        -230.3370562925      +0.0009596244        89         10413       +0.0661959203       inf
          90        -230.3369240108      +0.0001322817        90         10530       +0.0644224152       inf
          91        -230.3258488062      +0.0110752046        91         10647       +0.0586020736       inf
          92        -230.3366303347      -0.0107815285        92         10764       +0.0644979014       inf
          93        -230.3378904388      -0.0012601042        93         10881       +0.0680236271       inf
          94        -230.3141749529      +0.0237154859        94         10998       +0.0517030086       inf
          95        -230.3199597072      -0.0057847543        95         11115       +0.0544249777       inf
          96        -230.3186392064      +0.0013205009        96         11232       +0.0537676381       inf
          97        -230.3202580005      -0.0016187941        97         11349       +0.0545573287       inf
          98        -230.3219385525      -0.0016805521        98         11466       +0.0556975730       inf
          99        -230.3204335193      +0.0015050332        99         11583       +0.0549098032       inf
         100        -230.3183829414      +0.0020505778       100         11700       +0.0537572219       inf
