#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.7825946921      -0.0607755496         1           117       +0.0110367685       inf
           2        -230.7884961055      -0.0059014133         2           234       +0.0041116856       inf
           3        -230.7898126400      -0.0013165345         3           351       +0.0018150005       inf
           4        -230.7899898501      -0.0001772101         4           468       +0.0012447310       inf
           5        -230.7900087071      -0.0000188570         5           585       +0.0011712786       inf
           6        -230.7900117807      -0.0000030736         6           702       +0.0011627586       inf
           7        -230.7900121328      -0.0000003522         7           819       +0.0011632468       inf
           8        -230.7900121729      -0.0000000401         8           936       +0.0011634260       inf
           9        -230.7900121587      +0.0000000142         9          1053       +0.0011633836       inf
          10        -230.7900121626      -0.0000000039        10          1170       +0.0011633766       inf
