#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.7677981103      -0.0459789678         1           117       +0.0011037210       inf
           2        -230.7790446944      -0.0112465840         2           234       +0.0006346709       inf
           3        -230.7844473226      -0.0054026283         3           351       +0.0004567411       inf
           4        -230.7887945234      -0.0043472008         4           468       +0.0002347954       inf
           5        -230.7899855847      -0.0011910613         5           585       +0.0001021638       inf
           6        -230.7901619811      -0.0001763963         6           702       +0.0000523772       inf
           7        -230.7902075258      -0.0000455447         7           819       +0.0000198953       inf
           8        -230.7902134728      -0.0000059470         8           936       +0.0000040676       inf
           9        -230.7902137358      -0.0000002630         9          1053       +0.0000017113       inf
          10        -230.7902137892      -0.0000000534        10          1170       +0.0000007237       inf
          11        -230.7902138003      -0.0000000112        11          1287       +0.0000003464       inf
          12        -230.7902138020      -0.0000000017        12          1404       +0.0000002299       inf
