#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6283141415      -0.0035770168         1            38       +0.0217987050       inf
           2        -15.6312551174      -0.0029409759         2            76       +0.0198075343       inf
           3        -15.6416568031      -0.0104016857         3           114       +0.0124476226       inf
           4        -15.6475722990      -0.0059154958         4           152       +0.0064018870       inf
           5        -15.6488264063      -0.0012541073         5           190       +0.0041559159       inf
           6        -15.6493805971      -0.0005541907         6           228       +0.0030559519       inf
           7        -15.6495544318      -0.0001738347         7           266       +0.0026309386       inf
           8        -15.6497312661      -0.0001768343         8           304       +0.0022261818       inf
           9        -15.6499236291      -0.0001923630         9           342       +0.0018589003       inf
          10        -15.6500295101      -0.0001058810        10           380       +0.0016688024       inf
          11        -15.6503304323      -0.0003009222        11           418       +0.0010304877       inf
          12        -15.6503500844      -0.0000196521        12           456       +0.0008429581       inf
          13        -15.6503670625      -0.0000169780        13           494       +0.0007125058       inf
          14        -15.6503887582      -0.0000216958        14           532       +0.0005370037       inf
          15        -15.6503832747      +0.0000054836        15           570       +0.0005617019       inf
          16        -15.6503900075      -0.0000067328        16           608       +0.0005187621       inf
          17        -15.6503916702      -0.0000016627        17           646       +0.0005063757       inf
          18        -15.6503948066      -0.0000031364        18           684       +0.0004884701       inf
          19        -15.6503965452      -0.0000017386        19           722       +0.0004780114       inf
          20        -15.6503994424      -0.0000028972        20           760       +0.0004553598       inf
          21        -15.6503998103      -0.0000003679        21           798       +0.0004519643       inf
          22        -15.6503997658      +0.0000000445        22           836       +0.0004522718       inf
          23        -15.6503999944      -0.0000002286        23           874       +0.0004501106       inf
          24        -15.6504000197      -0.0000000253        24           912       +0.0004499254       inf
          25        -15.6504003866      -0.0000003669        25           950       +0.0004477346       inf
          26        -15.6504005631      -0.0000001765        26           988       +0.0004466460       inf
          27        -15.6504005776      -0.0000000144        27          1026       +0.0004470623       inf
          28        -15.6504005178      +0.0000000597        28          1064       +0.0004474930       inf
          29        -15.6504004719      +0.0000000460        29          1102       +0.0004478011       inf
          30        -15.6504002268      +0.0000002451        30          1140       +0.0004495784       inf
          31        -15.6504001970      +0.0000000297        31          1178       +0.0004498084       inf
          32        -15.6504001886      +0.0000000084        32          1216       +0.0004498782       inf
