#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6108776919      +0.0138594328         1            38       +0.0217641185       inf
           2        -15.5894829652      +0.0213947267         2            76       +0.0267230927       inf
           3        -15.6489419888      -0.0594590236         3           114       +0.0056033901       inf
           4        -15.6495732675      -0.0006312786         4           152       +0.0070771300       inf
           5        -15.6496141239      -0.0000408564         5           190       +0.0050807369       inf
           6        -15.6496434223      -0.0000292985         6           228       +0.0051842687       inf
           7        -15.6503375223      -0.0006940999         7           266       +0.0024815043       inf
           8        -15.6503378857      -0.0000003634         8           304       +0.0023732380       inf
           9        -15.6503668683      -0.0000289826         9           342       +0.0026754426       inf
          10        -15.6504017084      -0.0000348401        10           380       +0.0016820524       inf
          11        -15.6504064858      -0.0000047773        11           418       +0.0015170181       inf
          12        -15.6504164575      -0.0000099718        12           456       +0.0012869964       inf
          13        -15.6504175399      -0.0000010824        13           494       +0.0012614155       inf
          14        -15.6504283390      -0.0000107991        14           532       +0.0004524420       inf
          15        -15.6504291113      -0.0000007723        15           570       +0.0004481492       inf
          16        -15.6504340754      -0.0000049641        16           608       +0.0001942405       inf
          17        -15.6504339425      +0.0000001329        17           646       +0.0002109661       inf
          18        -15.6504345346      -0.0000005920        18           684       +0.0000969884       inf
          19        -15.6504345101      +0.0000000245        19           722       +0.0001026201       inf
          20        -15.6504345615      -0.0000000514        20           760       +0.0000946804       inf
          21        -15.6504345486      +0.0000000130        21           798       +0.0001008534       inf
          22        -15.6504345463      +0.0000000022        22           836       +0.0001013019       inf
