#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6357415988      -0.0110044740         1            38       +0.0164039084       inf
           2        -15.6410782082      -0.0053366095         2            76       +0.0123262695       inf
           3        -15.6470727578      -0.0059945495         3           114       +0.0072639869       inf
           4        -15.6475672941      -0.0004945364         4           152       +0.0064615184       inf
           5        -15.6475674081      -0.0000001140         5           190       +0.0065196326       inf
           6        -15.6475370188      +0.0000303893         6           228       +0.0066085771       inf
           7        -15.6475414345      -0.0000044157         7           266       +0.0066121080       inf
           8        -15.6475481697      -0.0000067352         8           304       +0.0066014642       inf
           9        -15.6475503466      -0.0000021769         9           342       +0.0066001089       inf
          10        -15.6475505745      -0.0000002279        10           380       +0.0065999112       inf
          11        -15.6475505200      +0.0000000545        11           418       +0.0066000536       inf
          12        -15.6475505906      -0.0000000706        12           456       +0.0065999340       inf
          13        -15.6475505601      +0.0000000305        13           494       +0.0065999636       inf
          14        -15.6475505588      +0.0000000013        14           532       +0.0065999667       inf
