#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.6298403328      -0.0051032080         1            38       +0.0161652776       inf
           2        -15.6338325831      -0.0039922504         2            76       +0.0142129123       inf
           3        -15.6484458704      -0.0146132872         3           114       +0.0051999336       inf
           4        -15.6496576193      -0.0012117489         4           152       +0.0026499135       inf
           5        -15.6501073149      -0.0004496956         5           190       +0.0013803876       inf
           6        -15.6502172818      -0.0001099669         6           228       +0.0010549911       inf
           7        -15.6503145183      -0.0000972366         7           266       +0.0007998743       inf
           8        -15.6503966745      -0.0000821562         8           304       +0.0004716182       inf
           9        -15.6504251776      -0.0000285030         9           342       +0.0002530990       inf
          10        -15.6504257653      -0.0000005878        10           380       +0.0002280653       inf
          11        -15.6504297933      -0.0000040280        11           418       +0.0001624833       inf
          12        -15.6504305163      -0.0000007230        12           456       +0.0001472155       inf
          13        -15.6504320733      -0.0000015570        13           494       +0.0001180216       inf
          14        -15.6504322893      -0.0000002160        14           532       +0.0001108550       inf
          15        -15.6504322565      +0.0000000328        15           570       +0.0001125827       inf
          16        -15.6504322587      -0.0000000022        16           608       +0.0001126107       inf
