#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -74.8032781310      +0.7549243568         1            32       +0.1131859111       inf
           2        -73.7699857190      +1.0332924119         2            64       +0.1302891818       inf
           3        -71.8782811316      +1.8917045874         3            96       +0.1543495188       inf
           4        -72.4127520024      -0.5344708707         4           128       +0.1687211349       inf
           5        -72.5482482573      -0.1354962550         5           160       +0.1704908623       inf
           6        -72.1039587738      +0.4442894835         6           192       +0.1583381207       inf
           7        -71.7621710169      +0.3417877569         7           224       +0.1451756131       inf
           8        -72.8801090626      -1.1179380457         8           256       +0.1621226656       inf
           9        -73.0414076650      -0.1612986023         9           288       +0.1575645750       inf
          10        -73.0440634669      -0.0026558019        10           320       +0.1487694790       inf
          11        -72.5969473444      +0.4471161225        11           352       +0.1319903273       inf
          12        -72.7600494066      -0.1631020622        12           384       +0.1365686012       inf
          13        -73.2798201777      -0.5197707712        13           416       +0.1300233398       inf
          14        -72.5242363210      +0.7555838567        14           448       +0.1636003272       inf
          15        -72.0168201501      +0.5074161709        15           480       +0.1611431882       inf
          16        -73.9376336223      -1.9208134722        16           512       +0.1272551520       inf
          17        -72.8490147450      +1.0886188773        17           544       +0.1613407664       inf
          18        -72.4823769871      +0.3666377579        18           576       +0.1651646323       inf
          19        -72.4976058496      -0.0152288625        19           608       +0.1652318490       inf
          20        -72.5475030821      -0.0498972325        20           640       +0.1653326983       inf
          21        -71.8984846531      +0.6490184290        21           672       +0.1506822525       inf
          22        -72.3890880122      -0.4906033591        22           704       +0.1572483651       inf
          23        -72.9574058688      -0.5683178566        23           736       +0.1616034586       inf
          24        -73.0507617993      -0.0933559306        24           768       +0.1538508430       inf
          25        -73.4173087841      -0.3665469847        25           800       +0.1418534618       inf
          26        -72.8571866668      +0.5601221173        26           832       +0.1600079650       inf
          27        -72.7100362608      +0.1471504060        27           864       +0.1647007031       inf
          28        -72.2917530875      +0.4182831733        28           896       +0.1558911518       inf
          29        -72.5125158467      -0.2207627591        29           928       +0.1595634670       inf
          30        -72.7081562879      -0.1956404412        30           960       +0.1527702070       inf
          31        -72.7365446031      -0.0283883152        31           992       +0.1535652939       inf
          32        -72.4627404958      +0.2738041073        32          1024       +0.1521357532       inf
          33        -72.5139860523      -0.0512455565        33          1056       +0.1528064160       inf
          34        -72.1300637214      +0.3839223309        34          1088       +0.1527293123       inf
          35        -72.2246442317      -0.0945805103        35          1120       +0.1564468703       inf
          36        -72.6915441722      -0.4668999405        36          1152       +0.1454529261       inf
          37        -72.6439875991      +0.0475565731        37          1184       +0.1489506350       inf
          38        -72.5683153592      +0.0756722400        38          1216       +0.1558798091       inf
          39        -72.6154301814      -0.0471148222        39          1248       +0.1582103214       inf
          40        -72.5938329702      +0.0215972112        40          1280       +0.1546477744       inf
          41        -72.6130436064      -0.0192106362        41          1312       +0.1539752566       inf
          42        -72.5150492622      +0.0979943442        42          1344       +0.1520811817       inf
          43        -72.5004084638      +0.0146407983        43          1376       +0.1521206168       inf
          44        -72.5320330054      -0.0316245415        44          1408       +0.1544920782       inf
          45        -72.5712115131      -0.0391785077        45          1440       +0.1506263656       inf
          46        -72.5819053124      -0.0106937993        46          1472       +0.1509550593       inf
          47        -72.5046458474      +0.0772594650        47          1504       +0.1541117975       inf
          48        -72.5200346757      -0.0153888283        48          1536       +0.1544298667       inf
          49        -72.5875564302      -0.0675217545        49          1568       +0.1525166464       inf
          50        -72.6700437359      -0.0824873056        50          1600       +0.1522526486       inf
          51        -72.6328032022      +0.0372405336        51          1632       +0.1562728087       inf
          52        -72.5222672109      +0.1105359913        52          1664       +0.1561549240       inf
          53        -72.3716197288      +0.1506474821        53          1696       +0.1482936882       inf
          54        -72.3196248168      +0.0519949120        54          1728       +0.1522181765       inf
          55        -72.2828351324      +0.0367896844        55          1760       +0.1502615723       inf
          56        -72.5533513339      -0.2705162015        56          1792       +0.1507161779       inf
          57        -72.6127129217      -0.0593615878        57          1824       +0.1542576166       inf
          58        -72.6684508156      -0.0557378939        58          1856       +0.1535764339       inf
          59        -72.6249835718      +0.0434672438        59          1888       +0.1515581336       inf
          60        -72.6849080430      -0.0599244712        60          1920       +0.1533012969       inf
          61        -72.6835169236      +0.0013911193        61          1952       +0.1536433408       inf
          62        -72.6817501056      +0.0017668180        62          1984       +0.1534631271       inf
          63        -72.6167142100      +0.0650358956        63          2016       +0.1540404976       inf
          64        -72.5929854494      +0.0237287606        64          2048       +0.1558258940       inf
          65        -72.5491880955      +0.0437973539        65          2080       +0.1554830159       inf
          66        -72.5187190113      +0.0304690842        66          2112       +0.1572026225       inf
          67        -72.4952160330      +0.0235029783        67          2144       +0.1549821409       inf
          68        -72.6257403635      -0.1305243305        68          2176       +0.1526538767       inf
          69        -72.6233001223      +0.0024402412        69          2208       +0.1523208505       inf
          70        -72.5161856389      +0.1071144835        70          2240       +0.1494426220       inf
          71        -72.5316310103      -0.0154453714        71          2272       +0.1485774928       inf
          72        -72.5213282348      +0.0103027755        72          2304       +0.1483123120       inf
          73        -72.5712583339      -0.0499300991        73          2336       +0.1498071486       inf
          74        -72.5178669085      +0.0533914254        74          2368       +0.1485663990       inf
          75        -72.4906517528      +0.0272151557        75          2400       +0.1513749064       inf
          76        -72.4324552934      +0.0581964594        76          2432       +0.1521802601       inf
          77        -72.4950184465      -0.0625631531        77          2464       +0.1544428241       inf
          78        -72.4960201841      -0.0010017376        78          2496       +0.1549933156       inf
          79        -72.5336933418      -0.0376731577        79          2528       +0.1532915979       inf
          80        -72.5864049978      -0.0527116559        80          2560       +0.1548678833       inf
          81        -72.4638294148      +0.1225755829        81          2592       +0.1540755590       inf
          82        -72.4337833291      +0.0300460857        82          2624       +0.1532601040       inf
          83        -72.4462266263      -0.0124432972        83          2656       +0.1544161107       inf
          84        -72.4628356887      -0.0166090624        84          2688       +0.1537907585       inf
          85        -72.4437960111      +0.0190396776        85          2720       +0.1526720176       inf
          86        -72.4458094676      -0.0020134565        86          2752       +0.1483704248       inf
          87        -72.3186606728      +0.1271487947        87          2784       +0.1553330748       inf
          88        -72.2972852554      +0.0213754175        88          2816       +0.1552956920       inf
          89        -72.4695658005      -0.1722805451        89          2848       +0.1510850453       inf
          90        -72.3458500568      +0.1237157436        90          2880       +0.1524805222       inf
          91        -72.3568319441      -0.0109818872        91          2912       +0.1493203747       inf
          92        -72.3244040151      +0.0324279290        92          2944       +0.1492646681       inf
          93        -72.3832904742      -0.0588864592        93          2976       +0.1482612817       inf
          94        -72.4079699239      -0.0246794497        94          3008       +0.1533291980       inf
          95        -72.5321149902      -0.1241450663        95          3040       +0.1488018195       inf
          96        -72.5608259133      -0.0287109231        96          3072       +0.1541138850       inf
          97        -72.5486908835      +0.0121350298        97          3104       +0.1527817967       inf
          98        -72.5756811196      -0.0269902361        98          3136       +0.1539229707       inf
          99        -72.6014242242      -0.0257431046        99          3168       +0.1508207301       inf
         100        -72.4950894552      +0.1063347690       100          3200       +0.1522747166       inf
