#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5709201078      -0.0127176201         1            32       +0.0008552344       inf
           2        -75.5788735485      -0.0079534407         2            64       +0.0006145493       inf
           3        -75.5794782235      -0.0006046749         3            96       +0.0005113573       inf
           4        -75.5794426653      +0.0000355582         4           128       +0.0005001822       inf
           5        -75.5794232095      +0.0000194558         5           160       +0.0004988963       inf
           6        -75.5794295998      -0.0000063903         6           192       +0.0004991393       inf
           7        -75.5794298176      -0.0000002178         7           224       +0.0004991770       inf
           8        -75.5794297593      +0.0000000584         8           256       +0.0004991661       inf
           9        -75.5794297856      -0.0000000264         9           288       +0.0004991665       inf
          10        -75.5794297799      +0.0000000057        10           320       +0.0004991662       inf
