#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5213381640      +0.0368643237         1            32       +0.0143203696       inf
           2        -75.4503025561      +0.0710356079         2            64       +0.0200982722       inf
           3        -75.5920745847      -0.1417720285         3            96       +0.0061721710       inf
           4        -75.5957512381      -0.0036766534         4           128       +0.0068522288       inf
           5        -75.5950454973      +0.0007057408         5           160       +0.0082510221       inf
           6        -75.5987979724      -0.0037524750         6           192       +0.0016581810       inf
           7        -75.5989978466      -0.0001998743         7           224       +0.0005022298       inf
           8        -75.5989909757      +0.0000068709         8           256       +0.0007471042       inf
           9        -75.5990318945      -0.0000409188         9           288       +0.0002246925       inf
          10        -75.5990361289      -0.0000042344        10           320       +0.0000452961       inf
          11        -75.5990360400      +0.0000000889        11           352       +0.0000393199       inf
          12        -75.5990362871      -0.0000002471        12           384       +0.0000375482       inf
          13        -75.5990363483      -0.0000000613        13           416       +0.0000250050       inf
          14        -75.5990363395      +0.0000000089        14           448       +0.0000258043       inf
