#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.5726070380      -0.0144045503         1            32       +0.0014666695       inf
           2        -75.5803400012      -0.0077329632         2            64       +0.0010465895       inf
           3        -75.5808564283      -0.0005164271         3            96       +0.0008772027       inf
           4        -75.5808286290      +0.0000277993         4           128       +0.0008599841       inf
           5        -75.5808108404      +0.0000177887         5           160       +0.0008581458       inf
           6        -75.5808168290      -0.0000059886         6           192       +0.0008585338       inf
           7        -75.5808170675      -0.0000002385         7           224       +0.0008585923       inf
           8        -75.5808170023      +0.0000000652         8           256       +0.0008585746       inf
           9        -75.5808170282      -0.0000000259         9           288       +0.0008585754       inf
          10        -75.5808170231      +0.0000000051        10           320       +0.0008585750       inf
