#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.3251468047      -0.1237633706         1           184       +0.0405380444       inf
           2        -4.3329873687      -0.0078405641         2           368       +0.0116198244       inf
           3        -4.3341359375      -0.0011485688         3           552       +0.0038965680       inf
           4        -4.3344704884      -0.0003345509         4           736       +0.0012542761       inf
           5        -4.3345209302      -0.0000504418         5           920       +0.0005685554       inf
           6        -4.3345331344      -0.0000122042         6          1104       +0.0003020951       inf
           7        -4.3345368510      -0.0000037166         7          1288       +0.0001338436       inf
           8        -4.3345369653      -0.0000001143         8          1472       +0.0001039078       inf
           9        -4.3345369754      -0.0000000101         9          1656       +0.0001016463       inf
          10        -4.3345369777      -0.0000000022        10          1840       +0.0001019862       inf
