#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.3128452274      -0.1114617934         1           184       +0.0040607756       inf
           2        -4.3293394523      -0.0164942249         2           368       +0.0014715258       inf
           3        -4.3336787098      -0.0043392575         3           552       +0.0004059575       inf
           4        -4.3343430203      -0.0006643104         4           736       +0.0001586354       inf
           5        -4.3344755039      -0.0001324836         5           920       +0.0000816508       inf
           6        -4.3345288438      -0.0000533399         6          1104       +0.0000327231       inf
           7        -4.3345367323      -0.0000078886         7          1288       +0.0000094148       inf
           8        -4.3345370881      -0.0000003558         8          1472       +0.0000041689       inf
           9        -4.3345371634      -0.0000000753         9          1656       +0.0000013781       inf
          10        -4.3345371693      -0.0000000059        10          1840       +0.0000009178       inf
