#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.2589718773      -0.0575884432         1           184       +0.0008121708       inf
           2        -4.2606385816      -0.0016667043         2           368       +0.0006193385       inf
           3        -4.2596396684      +0.0009989133         3           552       +0.0006005408       inf
           4        -4.2599418726      -0.0003022042         4           736       +0.0006059159       inf
           5        -4.2603915204      -0.0004496478         5           920       +0.0006011460       inf
           6        -4.2604423886      -0.0000508682         6          1104       +0.0005982527       inf
           7        -4.2604347566      +0.0000076319         7          1288       +0.0005983098       inf
           8        -4.2604384716      -0.0000037149         8          1472       +0.0005984046       inf
           9        -4.2604491504      -0.0000106788         9          1656       +0.0005983454       inf
          10        -4.2604496709      -0.0000005205        10          1840       +0.0005983098       inf
          11        -4.2604501028      -0.0000004319        11          2024       +0.0005983111       inf
          12        -4.2604498229      +0.0000002798        12          2208       +0.0005983142       inf
          13        -4.2604498617      -0.0000000388        13          2392       +0.0005983148       inf
          14        -4.2604498721      -0.0000000104        14          2576       +0.0005983145       inf
          15        -4.2604498749      -0.0000000028        15          2760       +0.0005983145       inf
