#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.0204019315      +0.1809815025         1           184       +0.2207862637       inf
           2        -3.7020302850      +0.3183716465         2           368       +0.2494121960       inf
           3        -4.2024369550      -0.5004066700         3           552       +0.2670258173       inf
           4        -4.2601772946      -0.0577403396         4           736       +0.2438579726       inf
           5        -4.2839220644      -0.0237447698         5           920       +0.3033494783       inf
           6        -4.1583877133      +0.1255343512         6          1104       +0.3080311465       inf
           7        -4.2681003797      -0.1097126664         7          1288       +0.2739229878       inf
           8        -4.2285212518      +0.0395791279         8          1472       +0.2347966733       inf
           9        -4.2273383991      +0.0011828527         9          1656       +0.2505044554       inf
          10        -4.1806837905      +0.0466546086        10          1840       +0.2521503720       inf
          11        -4.1621664952      +0.0185172952        11          2024       +0.2563230227       inf
          12        -4.1370350063      +0.0251314889        12          2208       +0.2557451383       inf
          13        -4.1899929560      -0.0529579496        13          2392       +0.4116163598       inf
          14        -4.1416013121      +0.0483916439        14          2576       +0.3435052679       inf
          15        -4.1992892549      -0.0576879428        15          2760       +0.2976396969       inf
          16        -4.2415036159      -0.0422143610        16          2944       +0.2796886512       inf
          17        -4.1165827972      +0.1249208187        17          3128       +0.3572162616       inf
          18        -4.2445051014      -0.1279223042        18          3312       +0.3261183045       inf
          19        -3.8955156406      +0.3489894608        19          3496       +0.3906274446       inf
          20        -3.9090818341      -0.0135661935        20          3680       +0.3789609258       inf
          21        -4.1609781310      -0.2518962969        21          3864       +0.3102130882       inf
          22        -4.0101527535      +0.1508253775        22          4048       +0.3234406442       inf
          23        -4.0777708054      -0.0676180519        23          4232       +0.3304211146       inf
          24        -4.0226011404      +0.0551696650        24          4416       +0.2974544949       inf
          25        -4.0918293213      -0.0692281809        25          4600       +0.3791179614       inf
          26        -4.1410065964      -0.0491772751        26          4784       +0.3640608179       inf
          27        -4.1673316748      -0.0263250784        27          4968       +0.3660182796       inf
          28        -4.0459202129      +0.1214114619        28          5152       +0.3465337796       inf
          29        -4.0344217135      +0.0114984993        29          5336       +0.3572287578       inf
          30        -4.0096097870      +0.0248119266        30          5520       +0.3636384726       inf
          31        -4.0741635952      -0.0645538083        31          5704       +0.3834965397       inf
          32        -3.9689996502      +0.1051639450        32          5888       +0.4149881655       inf
          33        -4.0945186010      -0.1255189508        33          6072       +0.3936989781       inf
          34        -4.0400106719      +0.0545079291        34          6256       +0.3244460289       inf
          35        -4.0010123210      +0.0389983510        35          6440       +0.3402798229       inf
          36        -3.9811247815      +0.0198875394        36          6624       +0.3206332446       inf
          37        -3.9863696533      -0.0052448718        37          6808       +0.3485777857       inf
          38        -4.0056804860      -0.0193108327        38          6992       +0.3299201287       inf
          39        -4.0043970523      +0.0012834337        39          7176       +0.3162660693       inf
          40        -4.0581470286      -0.0537499763        40          7360       +0.3310520486       inf
          41        -4.0563103918      +0.0018366368        41          7544       +0.3357445786       inf
          42        -4.0890444485      -0.0327340567        42          7728       +0.3328794561       inf
          43        -4.0202347762      +0.0688096723        43          7912       +0.3490118911       inf
          44        -4.0379802678      -0.0177454916        44          8096       +0.3422963610       inf
          45        -3.9691122075      +0.0688680603        45          8280       +0.3412491941       inf
