#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.2850582671      -0.0836748330         1           184       +0.1945922034       inf
           2        -4.3162216825      -0.0311634154         2           368       +0.1208808480       inf
           3        -4.3336551518      -0.0174334694         3           552       +0.0279014164       inf
           4        -4.3341258342      -0.0004706824         4           736       +0.0170987909       inf
           5        -4.3344024562      -0.0002766220         5           920       +0.0093578482       inf
           6        -4.3344799786      -0.0000775225         6          1104       +0.0059778830       inf
           7        -4.3344957442      -0.0000157656         7          1288       +0.0046684668       inf
           8        -4.3344963937      -0.0000006495         8          1472       +0.0045828558       inf
           9        -4.3344966452      -0.0000002515         9          1656       +0.0045592487       inf
          10        -4.3344966650      -0.0000000197        10          1840       +0.0045485600       inf
          11        -4.3344966547      +0.0000000102        11          2024       +0.0045454723       inf
          12        -4.3344968051      -0.0000001504        12          2208       +0.0045369172       inf
          13        -4.3344967640      +0.0000000411        13          2392       +0.0045381337       inf
          14        -4.3344967816      -0.0000000177        14          2576       +0.0045369705       inf
          15        -4.3344967838      -0.0000000021        15          2760       +0.0045368017       inf
