#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.3202327489      -0.1188493148         1           184       +0.1813750061       inf
           2        -4.3311884157      -0.0109556668         2           368       +0.0546795721       inf
           3        -4.3323360175      -0.0011476018         3           552       +0.0198878160       inf
           4        -4.3331542908      -0.0008182733         4           736       +0.0068104936       inf
           5        -4.3332447537      -0.0000904629         5           920       +0.0033257582       inf
           6        -4.3332780585      -0.0000333048         6          1104       +0.0023375354       inf
           7        -4.3332933995      -0.0000153411         7          1288       +0.0018949651       inf
           8        -4.3332943040      -0.0000009045         8          1472       +0.0018497815       inf
           9        -4.3332943778      -0.0000000738         9          1656       +0.0018468982       inf
          10        -4.3332947052      -0.0000003275        10          1840       +0.0018466925       inf
          11        -4.3332947139      -0.0000000086        11          2024       +0.0018465228       inf
