#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.3208445809      -0.1194611468         1           184       +0.1945922034       inf
           2        -4.3307145902      -0.0098700094         2           368       +0.0661346784       inf
           3        -4.3332875127      -0.0025729225         3           552       +0.0277627340       inf
           4        -4.3342779616      -0.0009904488         4           736       +0.0112799981       inf
           5        -4.3344408948      -0.0001629332         5           920       +0.0055632951       inf
           6        -4.3344937229      -0.0000528281         6          1104       +0.0038386536       inf
           7        -4.3345217923      -0.0000280693         7          1288       +0.0030064383       inf
           8        -4.3345290241      -0.0000072318         8          1472       +0.0027241159       inf
           9        -4.3345298919      -0.0000008678         9          1656       +0.0027050252       inf
          10        -4.3345301166      -0.0000002247        10          1840       +0.0026857368       inf
          11        -4.3345301891      -0.0000000726        11          2024       +0.0026853389       inf
          12        -4.3345301797      +0.0000000094        12          2208       +0.0026860614       inf
