#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.3108459057      -0.1094624716         1           184       +0.0203280428       inf
           2        -4.3282448455      -0.0173989398         2           368       +0.0080985180       inf
           3        -4.3332657196      -0.0050208742         3           552       +0.0035180305       inf
           4        -4.3341333233      -0.0008676037         4           736       +0.0028389699       inf
           5        -4.3343040370      -0.0001707137         5           920       +0.0027473852       inf
           6        -4.3343765120      -0.0000724750         6          1104       +0.0027220564       inf
           7        -4.3343943816      -0.0000178696         7          1288       +0.0027157745       inf
           8        -4.3343952498      -0.0000008682         8          1472       +0.0027156233       inf
           9        -4.3343957666      -0.0000005168         9          1656       +0.0027154235       inf
          10        -4.3343958633      -0.0000000968        10          1840       +0.0027153537       inf
          11        -4.3343958126      +0.0000000508        11          2024       +0.0027153959       inf
          12        -4.3343958232      -0.0000000106        12          2208       +0.0027153865       inf
          13        -4.3343958247      -0.0000000016        13          2392       +0.0027153847       inf
