#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.58979658161658      -0.03159409387584         1            32       +0.0028775154       6.600e+17
           2        -75.59668856327362      -0.00689198165703         2            64       +0.0012966168       1.320e+18
           3        -75.59895016550412      -0.00226160223050         3            96       +0.0002180579       1.980e+18
           4        -75.59903163310739      -0.00008146760327         4           128       +0.0000447060       2.640e+18
           5        -75.59903551868265      -0.00000388557527         5           160       +0.0000138713       3.300e+18
           6        -75.59903590740132      -0.00000038871866         6           192       +0.0000039519       3.960e+18
           7        -75.59903595724822      -0.00000004984690         7           224       +0.0000012139       4.620e+18
           8        -75.59903595793956      -0.00000000069134         8           256       +0.0000007412       5.280e+18
           9        -75.59903595896070      -0.00000000102114         9           288       +0.0000007482       5.940e+18
          10        -75.59903595831383      +0.00000000064686        10           320       +0.0000007366       6.600e+18
          11        -75.59903596019711      -0.00000000188328        11           352       +0.0000007500       7.260e+18
          12        -75.59903595847442      +0.00000000172270        12           384       +0.0000007392       7.920e+18
          13        -75.59903595797338      +0.00000000050103        13           416       +0.0000007458       8.580e+18
          14        -75.59903595990627      -0.00000000193289        14           448       +0.0000007540       9.240e+18
          15        -75.59903595875632      +0.00000000114996        15           480       +0.0000007631       9.900e+18
          16        -75.59903595970255      -0.00000000094623        16           512       +0.0000007582       1.056e+19
          17        -75.59903595802831      +0.00000000167424        17           544       +0.0000007635       1.122e+19
          18        -75.59903595951917      -0.00000000149086        18           576       +0.0000007448       1.188e+19
          19        -75.59903595832084      +0.00000000119833        19           608       +0.0000007336       1.254e+19
          20        -75.59903596144750      -0.00000000312666        20           640       +0.0000007487       1.320e+19
          21        -75.59903595909203      +0.00000000235546        21           672       +0.0000007489       1.386e+19
          22        -75.59903596184263      -0.00000000275060        22           704       +0.0000007601       1.452e+19
          23        -75.59903596052942      +0.00000000131321        23           736       +0.0000007518       1.518e+19
          24        -75.59903596017065      +0.00000000035877        24           768       +0.0000007659       1.584e+19
          25        -75.59903596163163      -0.00000000146098        25           800       +0.0000007596       1.650e+19
