#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.59744915807667      -0.03924667033593         1            32       +0.0028774847       1.320e+16
           2        -75.59886456996128      -0.00141541188461         2            64       +0.0005807986       2.640e+16
           3        -75.59903253288313      -0.00016796292185         3            96       +0.0000987820       3.960e+16
           4        -75.59903586706750      -0.00000333418437         4           128       +0.0000098127       5.280e+16
           5        -75.59903595417384      -0.00000008710634         5           160       +0.0000024533       6.600e+16
           6        -75.59903592887707      +0.00000002529677         6           192       +0.0000015631       7.920e+16
           7        -75.59903592932800      -0.00000000045092         7           224       +0.0000012724       9.240e+16
           8        -75.59903591702333      +0.00000001230467         8           256       +0.0000012904       1.056e+17
           9        -75.59903591964085      -0.00000000261753         9           288       +0.0000013664       1.188e+17
          10        -75.59903594594056      -0.00000002629970        10           320       +0.0000012418       1.320e+17
          11        -75.59903594772557      -0.00000000178501        11           352       +0.0000013429       1.452e+17
          12        -75.59903596885269      -0.00000002112712        12           384       +0.0000010799       1.584e+17
          13        -75.59903593026173      +0.00000003859095        13           416       +0.0000013694       1.716e+17
          14        -75.59903595776267      -0.00000002750093        14           448       +0.0000013054       1.848e+17
          15        -75.59903592476280      +0.00000003299986        15           480       +0.0000013432       1.980e+17
          16        -75.59903595513917      -0.00000003037637        16           512       +0.0000012454       2.112e+17
          17        -75.59903593110569      +0.00000002403348        17           544       +0.0000011385       2.244e+17
          18        -75.59903598020327      -0.00000004909758        18           576       +0.0000012136       2.376e+17
          19        -75.59903594091421      +0.00000003928906        19           608       +0.0000013045       2.508e+17
          20        -75.59903592467302      +0.00000001624119        20           640       +0.0000011987       2.640e+17
          21        -75.59903587107623      +0.00000005359679        21           672       +0.0000013187       2.772e+17
          22        -75.59903595358034      -0.00000008250412        22           704       +0.0000012434       2.904e+17
          23        -75.59903593853494      +0.00000001504540        23           736       +0.0000011236       3.036e+17
          24        -75.59903594859391      -0.00000001005897        24           768       +0.0000012798       3.168e+17
          25        -75.59903596249038      -0.00000001389647        25           800       +0.0000012021       3.300e+17
