#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.42272044180579      +0.13548204593495         1            32       +0.0028774989       1.320e+16
           2        -74.82257000137483      +0.60015044043097         2            64       +0.0059222369       2.640e+16
           3        -75.56943355611796      -0.74686355474313         3            96       +0.0011765366       3.960e+16
           4        -75.58952646818106      -0.02009291206311         4           128       +0.0006400038       5.280e+16
           5        -75.59295776978222      -0.00343130160115         5           160       +0.0005139337       6.600e+16
           6        -75.59898820110726      -0.00603043132504         6           192       +0.0000483329       7.920e+16
           7        -75.59901553840474      -0.00002733729748         7           224       +0.0000330928       9.240e+16
           8        -75.59903067558625      -0.00001513718151         8           256       +0.0000173727       1.056e+17
           9        -75.59903308890915      -0.00000241332290         9           288       +0.0000102474       1.188e+17
          10        -75.59903313079293      -0.00000004188378        10           320       +0.0000101003       1.320e+17
          11        -75.59903316246236      -0.00000003166943        11           352       +0.0000101494       1.452e+17
          12        -75.59903310805727      +0.00000005440509        12           384       +0.0000108516       1.584e+17
          13        -75.59903286345450      +0.00000024460277        13           416       +0.0000108484       1.716e+17
          14        -75.59903594205497      -0.00000307860047        14           448       +0.0000017617       1.848e+17
          15        -75.59903592774248      +0.00000001431249        15           480       +0.0000016135       1.980e+17
          16        -75.59903593383129      -0.00000000608881        16           512       +0.0000022489       2.112e+17
          17        -75.59903592495606      +0.00000000887523        17           544       +0.0000025402       2.244e+17
          18        -75.59903590863252      +0.00000001632354        18           576       +0.0000023134       2.376e+17
          19        -75.59903583235183      +0.00000007628068        19           608       +0.0000029344       2.508e+17
          20        -75.59903590626138      -0.00000007390955        20           640       +0.0000027729       2.640e+17
          21        -75.59903590352414      +0.00000000273724        21           672       +0.0000023538       2.772e+17
          22        -75.59903587134363      +0.00000003218051        22           704       +0.0000018818       2.904e+17
          23        -75.59903588080637      -0.00000000946274        23           736       +0.0000018905       3.036e+17
          24        -75.59903584726689      +0.00000003353948        24           768       +0.0000021731       3.168e+17
          25        -75.59903590066857      -0.00000005340168        25           800       +0.0000021812       3.300e+17
