#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.79804026517252      -0.01398416611229         1            54       +0.0046768291       1.100e+12
           2        -148.80998504846704      -0.01194478329452         2           108       +0.0042715369       2.200e+12
           3        -148.82607891703503      -0.01609386856799         3           162       +0.0036394443       3.300e+12
           4        -148.85961961569012      -0.03354069865509         4           216       +0.0018409350       4.400e+12
           5        -148.87125916118725      -0.01163954549713         5           270       +0.0010448621       5.500e+12
           6        -148.87167823213099      -0.00041907094374         6           324       +0.0010143322       6.600e+12
           7        -148.87153232643905      +0.00014590569194         7           378       +0.0010038223       7.700e+12
           8        -148.87156845091263      -0.00003612447358         8           432       +0.0009892098       8.800e+12
           9        -148.87158732531893      -0.00001887440629         9           486       +0.0009623197       9.900e+12
          10        -148.87156994309791      +0.00001738222102        10           540       +0.0009328556       1.100e+13
          11        -148.87124544300747      +0.00032450009044        11           594       +0.0008703895       1.210e+13
          12        -148.87118276894174      +0.00006267406573        12           648       +0.0008555145       1.320e+13
          13        -148.87124237696341      -0.00005960802167        13           702       +0.0008564559       1.430e+13
          14        -148.87125908432398      -0.00001670736057        14           756       +0.0007673177       1.540e+13
          15        -148.87128088248565      -0.00002179816167        15           810       +0.0007764194       1.650e+13
          16        -148.87155104937645      -0.00027016689080        16           864       +0.0007381508       1.760e+13
          17        -148.87154724495809      +0.00000380441836        17           918       +0.0007480162       1.870e+13
          18        -148.87170237336849      -0.00015512841040        18           972       +0.0007909025       1.980e+13
          19        -148.87195615006021      -0.00025377669172        19          1026       +0.0007193397       2.090e+13
          20        -148.87200040072722      -0.00004425066700        20          1080       +0.0007075856       2.200e+13
          21        -148.87212012966205      -0.00011972893483        21          1134       +0.0006850613       2.310e+13
          22        -148.87186826265207      +0.00025186700998        22          1188       +0.0006860034       2.420e+13
          23        -148.87208775768678      -0.00021949503471        23          1242       +0.0006493481       2.530e+13
          24        -148.87196692695397      +0.00012083073281        24          1296       +0.0006627524       2.640e+13
          25        -148.87217601177875      -0.00020908482477        25          1350       +0.0006360608       2.750e+13
