#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.83712942965161      -0.05307333059139         1            54       +0.0046972978       2.200e+12
           2        -148.85481977900869      -0.01769034935708         2           108       +0.0025208477       4.400e+12
           3        -148.87900216862386      -0.02418238961516         3           162       +0.0007211383       6.600e+12
           4        -148.87943251267043      -0.00043034404658         4           216       +0.0001313667       8.800e+12
           5        -148.87943546420033      -0.00000295152989         5           270       +0.0001362125       1.100e+13
           6        -148.87942396229764      +0.00001150190269         6           324       +0.0001119769       1.320e+13
           7        -148.87944530135735      -0.00002133905971         7           378       +0.0001149249       1.540e+13
           8        -148.87944449784564      +0.00000080351171         8           432       +0.0001039975       1.760e+13
           9        -148.87942813195420      +0.00001636589144         9           486       +0.0001128954       1.980e+13
          10        -148.87943620065613      -0.00000806870193        10           540       +0.0001160249       2.200e+13
          11        -148.87941839253526      +0.00001780812087        11           594       +0.0000965413       2.420e+13
          12        -148.87943315473464      -0.00001476219938        12           648       +0.0001048938       2.640e+13
          13        -148.87944383940666      -0.00001068467202        13           702       +0.0001038135       2.860e+13
          14        -148.87942693331507      +0.00001690609159        14           756       +0.0001043431       3.080e+13
          15        -148.87943380852965      -0.00000687521458        15           810       +0.0001170034       3.300e+13
          16        -148.87943709063214      -0.00000328210248        16           864       +0.0001181860       3.520e+13
          17        -148.87945018830268      -0.00001309767055        17           918       +0.0001132065       3.740e+13
          18        -148.87944755215736      +0.00000263614533        18           972       +0.0000964802       3.960e+13
          19        -148.87943916295785      +0.00000838919951        19          1026       +0.0001057158       4.180e+13
          20        -148.87944754982442      -0.00000838686657        20          1080       +0.0000909151       4.400e+13
          21        -148.87944164523134      +0.00000590459308        21          1134       +0.0000963848       4.620e+13
          22        -148.87943162150856      +0.00001002372278        22          1188       +0.0001023453       4.840e+13
          23        -148.87943922261857      -0.00000760111001        23          1242       +0.0001045544       5.060e+13
          24        -148.87943423388313      +0.00000498873544        24          1296       +0.0001258471       5.280e+13
          25        -148.87943890577088      -0.00000467188775        25          1350       +0.0001111411       5.500e+13
