#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.52696595168275      +0.03123653605799         1            32       +0.0283744689       6.600e+17
           2        -75.47209232735752      +0.05487362432524         2            64       +0.0375423372       1.320e+18
           3        -75.59628941514659      -0.12419708778907         3            96       +0.0068724641       1.980e+18
           4        -75.59697708952987      -0.00068767438329         4           128       +0.0098635174       2.640e+18
           5        -75.59805668521399      -0.00107959568412         5           160       +0.0042554236       3.300e+18
           6        -75.59819801162102      -0.00014132640703         6           192       +0.0035311613       3.960e+18
           7        -75.59901992387267      -0.00082191225165         7           224       +0.0006366557       4.620e+18
           8        -75.59901692953717      +0.00000299433550         8           256       +0.0006033206       5.280e+18
           9        -75.59903265407485      -0.00001572453768         9           288       +0.0005987030       5.940e+18
          10        -75.59903376689022      -0.00000111281537        10           320       +0.0002832612       6.600e+18
          11        -75.59903546204120      -0.00000169515098        11           352       +0.0001759183       7.260e+18
          12        -75.59903579121027      -0.00000032916907        12           384       +0.0001288386       7.920e+18
          13        -75.59903561035581      +0.00000018085446        13           416       +0.0001204841       8.580e+18
          14        -75.59903576475540      -0.00000015439959        14           448       +0.0001118310       9.240e+18
          15        -75.59903576190996      +0.00000000284544        15           480       +0.0001115912       9.900e+18
          16        -75.59903575794786      +0.00000000396210        16           512       +0.0001116992       1.056e+19
          17        -75.59903576089324      -0.00000000294538        17           544       +0.0001116228       1.122e+19
          18        -75.59903575983765      +0.00000000105560        18           576       +0.0001115519       1.188e+19
          19        -75.59903575808082      +0.00000000175683        19           608       +0.0001116951       1.254e+19
          20        -75.59903575817182      -0.00000000009101        20           640       +0.0001116678       1.320e+19
          21        -75.59903575815531      +0.00000000001651        21           672       +0.0001116519       1.386e+19
          22        -75.59903575861703      -0.00000000046172        22           704       +0.0001116102       1.452e+19
          23        -75.59903575858584      +0.00000000003119        23           736       +0.0001116115       1.518e+19
          24        -75.59903575877448      -0.00000000018863        24           768       +0.0001116149       1.584e+19
          25        -75.59903575895517      -0.00000000018069        25           800       +0.0001116134       1.650e+19
