#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.42508887878553      +0.13311360895521         1            32       +0.0283744703       2.178e+19
           2        -74.86224123838225      +0.56284764040328         2            64       +0.0577886432       4.356e+19
           3        -75.58002855574526      -0.71778731736300         3            96       +0.0094058273       6.534e+19
           4        -75.59242622788113      -0.01239767213588         4           128       +0.0053994512       8.712e+19
           5        -75.59723356089778      -0.00480733301664         5           160       +0.0028747909       1.089e+20
           6        -75.59902073011837      -0.00178716922059         6           192       +0.0002663217       1.307e+20
           7        -75.59902286902575      -0.00000213890738         7           224       +0.0002488823       1.525e+20
           8        -75.59903484776409      -0.00001197873834         8           256       +0.0001316121       1.742e+20
           9        -75.59903574608119      -0.00000089831710         9           288       +0.0001122319       1.960e+20
          10        -75.59903568250623      +0.00000006357496        10           320       +0.0001129532       2.178e+20
          11        -75.59903575420982      -0.00000007170360        11           352       +0.0001119191       2.396e+20
          12        -75.59903574995225      +0.00000000425757        12           384       +0.0001119181       2.614e+20
          13        -75.59903575286236      -0.00000000291011        13           416       +0.0001118958       2.831e+20
          14        -75.59903575588939      -0.00000000302703        14           448       +0.0001118197       3.049e+20
          15        -75.59903575631536      -0.00000000042597        15           480       +0.0001117980       3.267e+20
          16        -75.59903575594269      +0.00000000037267        16           512       +0.0001117948       3.485e+20
          17        -75.59903575711216      -0.00000000116947        17           544       +0.0001117416       3.703e+20
          18        -75.59903575575687      +0.00000000135529        18           576       +0.0001117955       3.920e+20
          19        -75.59903575579305      -0.00000000003618        19           608       +0.0001118031       4.138e+20
          20        -75.59903575576875      +0.00000000002430        20           640       +0.0001118275       4.356e+20
          21        -75.59903575600954      -0.00000000024079        21           672       +0.0001118186       4.574e+20
          22        -75.59903575615088      -0.00000000014134        22           704       +0.0001117998       4.792e+20
          23        -75.59903575633091      -0.00000000018002        23           736       +0.0001118145       5.009e+20
          24        -75.59903575636848      -0.00000000003757        24           768       +0.0001118119       5.227e+20
          25        -75.59903575550642      +0.00000000086206        25           800       +0.0001118398       5.445e+20
