#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.59740725300107      -0.03920476526032         1            32       +0.0028778958       2.178e+19
           2        -75.59886790239388      -0.00146064939281         2            64       +0.0005836814       4.356e+19
           3        -75.59903179208858      -0.00016388969470         3            96       +0.0000991620       6.534e+19
           4        -75.59903645389946      -0.00000466181088         4           128       +0.0000100008       8.712e+19
           5        -75.59903648289868      -0.00000002899922         5           160       +0.0000021471       1.089e+20
           6        -75.59903648298470      -0.00000000008602         6           192       +0.0000007849       1.307e+20
           7        -75.59903648296083      +0.00000000002387         7           224       +0.0000007840       1.525e+20
           8        -75.59903648304278      -0.00000000008195         8           256       +0.0000008141       1.742e+20
           9        -75.59903648297107      +0.00000000007171         9           288       +0.0000007824       1.960e+20
          10        -75.59903648299500      -0.00000000002393        10           320       +0.0000007745       2.178e+20
          11        -75.59903648323993      -0.00000000024492        11           352       +0.0000007947       2.396e+20
          12        -75.59903648331827      -0.00000000007834        12           384       +0.0000007805       2.614e+20
          13        -75.59903648312763      +0.00000000019064        13           416       +0.0000007847       2.831e+20
          14        -75.59903648322377      -0.00000000009614        14           448       +0.0000007921       3.049e+20
          15        -75.59903648297966      +0.00000000024411        15           480       +0.0000008027       3.267e+20
          16        -75.59903648326203      -0.00000000028237        16           512       +0.0000007771       3.485e+20
          17        -75.59903648318132      +0.00000000008070        17           544       +0.0000007849       3.703e+20
          18        -75.59903648326765      -0.00000000008633        18           576       +0.0000007786       3.920e+20
          19        -75.59903648320176      +0.00000000006590        19           608       +0.0000007686       4.138e+20
          20        -75.59903648333278      -0.00000000013102        20           640       +0.0000007814       4.356e+20
          21        -75.59903648306694      +0.00000000026584        21           672       +0.0000007855       4.574e+20
          22        -75.59903648313909      -0.00000000007215        22           704       +0.0000007852       4.792e+20
          23        -75.59903648306735      +0.00000000007174        23           736       +0.0000007859       5.009e+20
          24        -75.59903648313868      -0.00000000007132        24           768       +0.0000007793       5.227e+20
          25        -75.59903648299149      +0.00000000014718        25           800       +0.0000008041       5.445e+20
