#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.8344038684      -0.0503477693         1            54       +0.0446123301       6.050e+15
           2        -148.8566146164      -0.0222107480         2           108       +0.0237896536       1.210e+16
           3        -148.8769029375      -0.0202883212         3           162       +0.0064836859       1.815e+16
           4        -148.8769669351      -0.0000639975         4           216       +0.0006918739       2.420e+16
           5        -148.8769981778      -0.0000312428         5           270       +0.0003345865       3.025e+16
           6        -148.8769960827      +0.0000020952         6           324       +0.0002869372       3.630e+16
           7        -148.8769979705      -0.0000018878         7           378       +0.0002803582       4.235e+16
           8        -148.8769989218      -0.0000009513         8           432       +0.0002768720       4.840e+16
           9        -148.8770010543      -0.0000021324         9           486       +0.0002772330       5.445e+16
          10        -148.8769988762      +0.0000021781        10           540       +0.0002752660       6.050e+16
          11        -148.8769996297      -0.0000007535        11           594       +0.0002744177       6.655e+16
          12        -148.8769986968      +0.0000009329        12           648       +0.0002752317       7.260e+16
          13        -148.8769974071      +0.0000012898        13           702       +0.0002733281       7.865e+16
          14        -148.8770015535      -0.0000041464        14           756       +0.0002733016       8.470e+16
          15        -148.8769989345      +0.0000026190        15           810       +0.0002745860       9.075e+16
          16        -148.8770002864      -0.0000013518        16           864       +0.0002736019       9.680e+16
          17        -148.8770018871      -0.0000016007        17           918       +0.0002746047       1.028e+17
          18        -148.8769994886      +0.0000023985        18           972       +0.0002726983       1.089e+17
          19        -148.8770009182      -0.0000014295        19          1026       +0.0002742081       1.150e+17
          20        -148.8769999884      +0.0000009297        20          1080       +0.0002747746       1.210e+17
          21        -148.8770017265      -0.0000017381        21          1134       +0.0002736649       1.270e+17
          22        -148.8770006052      +0.0000011213        22          1188       +0.0002743473       1.331e+17
          23        -148.8769991947      +0.0000014105        23          1242       +0.0002744196       1.392e+17
          24        -148.8770015206      -0.0000023259        24          1296       +0.0002753263       1.452e+17
          25        -148.8770009623      +0.0000005583        25          1350       +0.0002746572       1.512e+17
