#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.7448042253      +0.0392518738         1            54       +0.0046912307       1.100e+14
           2        -148.6888985385      +0.0559056867         2           108       +0.0056282013       2.200e+14
           3        -148.8693541189      -0.1804555803         3           162       +0.0009764664       3.300e+14
           4        -148.8657367745      +0.0036173443         4           216       +0.0010985137       4.400e+14
           5        -148.8735224093      -0.0077856347         5           270       +0.0005121140       5.500e+14
           6        -148.8737233134      -0.0002009042         6           324       +0.0004855362       6.600e+14
           7        -148.8739565157      -0.0002332023         7           378       +0.0004613158       7.700e+14
           8        -148.8739240104      +0.0000325053         8           432       +0.0004652331       8.800e+14
           9        -148.8739529972      -0.0000289868         9           486       +0.0004556422       9.900e+14
          10        -148.8737144352      +0.0002385620        10           540       +0.0004814115       1.100e+15
          11        -148.8751988524      -0.0014844172        11           594       +0.0004111325       1.210e+15
          12        -148.8749270596      +0.0002717928        12           648       +0.0004050552       1.320e+15
          13        -148.8747524916      +0.0001745680        13           702       +0.0004005523       1.430e+15
          14        -148.8736951153      +0.0010573763        14           756       +0.0004822064       1.540e+15
          15        -148.8742648220      -0.0005697067        15           810       +0.0004312741       1.650e+15
          16        -148.8746372408      -0.0003724188        16           864       +0.0004512631       1.760e+15
          17        -148.8735319434      +0.0011052974        17           918       +0.0004728690       1.870e+15
          18        -148.8744566314      -0.0009246880        18           972       +0.0003904594       1.980e+15
          19        -148.8751489598      -0.0006923283        19          1026       +0.0003242841       2.090e+15
          20        -148.8727736189      +0.0023753408        20          1080       +0.0007293249       2.200e+15
          21        -148.8763641600      -0.0035905411        21          1134       +0.0003797618       2.310e+15
          22        -148.8757950814      +0.0005690786        22          1188       +0.0003997494       2.420e+15
          23        -148.8758858398      -0.0000907585        23          1242       +0.0005744378       2.530e+15
          24        -148.8744359006      +0.0014499392        24          1296       +0.0004586111       2.640e+15
          25        -148.8756604611      -0.0012245604        25          1350       +0.0004956865       2.750e+15
          26        -148.8777858968      -0.0021254358        26          1404       +0.0004392133       2.860e+15
          27        -148.8783041872      -0.0005182904        27          1458       +0.0005181822       2.970e+15
          28        -148.8781493868      +0.0001548004        28          1512       +0.0003795300       3.080e+15
          29        -148.8785621161      -0.0004127293        29          1566       +0.0004353933       3.190e+15
          30        -148.8786311797      -0.0000690636        30          1620       +0.0004712257       3.300e+15
          31        -148.8787472579      -0.0001160782        31          1674       +0.0004788896       3.410e+15
          32        -148.8784764681      +0.0002707898        32          1728       +0.0003855570       3.520e+15
          33        -148.8784938521      -0.0000173840        33          1782       +0.0003751047       3.630e+15
          34        -148.8778769394      +0.0006169127        34          1836       +0.0003558697       3.740e+15
          35        -148.8781517024      -0.0002747631        35          1890       +0.0003162544       3.850e+15
          36        -148.8781685911      -0.0000168886        36          1944       +0.0003752714       3.960e+15
          37        -148.8781096885      +0.0000589025        37          1998       +0.0003268691       4.070e+15
          38        -148.8782532812      -0.0001435926        38          2052       +0.0003305953       4.180e+15
          39        -148.8779609668      +0.0002923144        39          2106       +0.0003363954       4.290e+15
          40        -148.8783612566      -0.0004002898        40          2160       +0.0004322900       4.400e+15
          41        -148.8780952165      +0.0002660402        41          2214       +0.0003428503       4.510e+15
          42        -148.8781299133      -0.0000346968        42          2268       +0.0003673651       4.620e+15
          43        -148.8780987434      +0.0000311700        43          2322       +0.0002737142       4.730e+15
          44        -148.8782969079      -0.0001981645        44          2376       +0.0003282199       4.840e+15
          45        -148.8780571486      +0.0002397592        45          2430       +0.0003120747       4.950e+15
          46        -148.8781932395      -0.0001360909        46          2484       +0.0003158265       5.060e+15
          47        -148.8783379741      -0.0001447346        47          2538       +0.0003366339       5.170e+15
          48        -148.8783363421      +0.0000016320        48          2592       +0.0003487872       5.280e+15
          49        -148.8783921370      -0.0000557949        49          2646       +0.0003614333       5.390e+15
          50        -148.8783629315      +0.0000292055        50          2700       +0.0003231341       5.500e+15
