#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.8226595109      -0.0386034118         1            54       +0.0005906309       6.050e+15
           2        -148.8045355098      +0.0181240011         2           108       +0.0002412231       1.210e+16
           3        -148.6588857574      +0.1456497524         3           162       +0.0003814334       1.815e+16
           4        -147.6147114446      +1.0441743128         4           216       +0.0009551100       2.420e+16
           5        -148.8337771622      -1.2190657176         5           270       +0.0003442544       3.025e+16
           6        -148.8110013513      +0.0227758109         6           324       +0.0004651807       3.630e+16
           7        -148.2444571669      +0.5665441844         7           378       +0.0005259809       4.235e+16
           8        -148.2508250205      -0.0063678536         8           432       +0.0005686247       4.840e+16
           9        -148.2597358798      -0.0089108592         9           486       +0.0005693888       5.445e+16
          10        -148.2568538556      +0.0028820241        10           540       +0.0005790231       6.050e+16
          11        -148.2571580294      -0.0003041738        11           594       +0.0005784881       6.655e+16
          12        -148.2483640201      +0.0087940093        12           648       +0.0005795903       7.260e+16
          13        -148.3201963761      -0.0718323559        13           702       +0.0005953225       7.865e+16
          14        -148.2608711074      +0.0593252687        14           756       +0.0006010781       8.470e+16
          15        -148.2728464078      -0.0119753005        15           810       +0.0005110722       9.075e+16
          16        -148.8172835766      -0.5444371688        16           864       +0.0005089228       9.680e+16
          17        -148.8240123823      -0.0067288057        17           918       +0.0004290757       1.028e+17
          18        -148.1543956660      +0.6696167163        18           972       +0.0006896386       1.089e+17
          19        -148.8295795123      -0.6751838463        19          1026       +0.0003960950       1.150e+17
          20        -148.8335437269      -0.0039642146        20          1080       +0.0001986343       1.210e+17
          21        -148.8346524942      -0.0011087674        21          1134       +0.0002325726       1.270e+17
          22        -148.8335047987      +0.0011476956        22          1188       +0.0001919620       1.331e+17
          23        -148.8339044387      -0.0003996401        23          1242       +0.0001641541       1.392e+17
          24        -148.8338354449      +0.0000689939        24          1296       +0.0002011174       1.452e+17
          25        -148.8367930161      -0.0029575712        25          1350       +0.0001608126       1.512e+17
