#Efci:-149.0519520730
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.9420910775      -0.0170830964         1            54       +0.0049076910       inf
           2        -148.9565330720      -0.0144419945         2           108       +0.0044850275       inf
           3        -149.0349886254      -0.0784555533         3           162       +0.0015187368       inf
           4        -149.0362971802      -0.0013085549         4           216       +0.0007022695       inf
           5        -149.0363314246      -0.0000342444         5           270       +0.0007069405       inf
           6        -149.0390826340      -0.0027512094         6           324       +0.0004217368       inf
           7        -149.0386825670      +0.0004000670         7           378       +0.0004640472       inf
           8        -149.0386141765      +0.0000683905         8           432       +0.0004765709       inf
           9        -149.0388138094      -0.0001996328         9           486       +0.0004375451       inf
          10        -149.0390782555      -0.0002644462        10           540       +0.0004076346       inf
          11        -149.0393247615      -0.0002465060        11           594       +0.0003838708       inf
          12        -149.0401954691      -0.0008707076        12           648       +0.0003162436       inf
          13        -149.0408269894      -0.0006315203        13           702       +0.0002046792       inf
          14        -149.0422259150      -0.0013989256        14           756       +0.0002061534       inf
          15        -149.0422903419      -0.0000644269        15           810       +0.0001102363       inf
          16        -149.0428307499      -0.0005404081        16           864       +0.0000641571       inf
          17        -149.0428187628      +0.0000119871        17           918       +0.0000647203       inf
          18        -149.0428534699      -0.0000347071        18           972       +0.0000435157       inf
          19        -149.0428167232      +0.0000367467        19          1026       +0.0000397915       inf
          20        -149.0428307069      -0.0000139836        20          1080       +0.0000374273       inf
          21        -149.0428277788      +0.0000029281        21          1134       +0.0000378118       inf
          22        -149.0428295456      -0.0000017668        22          1188       +0.0000299887       inf
          23        -149.0428324662      -0.0000029206        23          1242       +0.0000278894       inf
          24        -149.0428298470      +0.0000026192        24          1296       +0.0000274499       inf
          25        -149.0428323368      -0.0000024898        25          1350       +0.0000266048       inf
          26        -149.0428321277      +0.0000002091        26          1404       +0.0000264684       inf
          27        -149.0428324589      -0.0000003312        27          1458       +0.0000261350       inf
          28        -149.0428326320      -0.0000001731        28          1512       +0.0000259025       inf
          29        -149.0428326213      +0.0000000107        29          1566       +0.0000259063       inf
          30        -149.0428326101      +0.0000000112        30          1620       +0.0000258946       inf
          31        -149.0428327878      -0.0000001777        31          1674       +0.0000258621       inf
          32        -149.0428327875      +0.0000000002        32          1728       +0.0000258609       inf
