#Efci:-149.0519520730
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.9421074887      -0.0170995075         1            54       +0.0049071120       1.100e+14
           2        -148.9565472705      -0.0144397819         2           108       +0.0044836790       2.200e+14
           3        -149.0347075650      -0.0781602944         3           162       +0.0014300430       3.300e+14
           4        -149.0354032495      -0.0006956845         4           216       +0.0012355421       4.400e+14
           5        -149.0368104227      -0.0014071733         5           270       +0.0006087741       5.500e+14
           6        -149.0380463762      -0.0012359534         6           324       +0.0010515839       6.600e+14
           7        -149.0386275919      -0.0005812157         7           378       +0.0010118257       7.700e+14
           8        -149.0393874003      -0.0007598084         8           432       +0.0006433967       8.800e+14
           9        -149.0395064634      -0.0001190630         9           486       +0.0003787620       9.900e+14
          10        -149.0395505534      -0.0000440901        10           540       +0.0002950706       1.100e+15
          11        -149.0396330244      -0.0000824709        11           594       +0.0001822742       1.210e+15
          12        -149.0396184246      +0.0000145998        12           648       +0.0001963869       1.320e+15
          13        -149.0396108983      +0.0000075262        13           702       +0.0002073087       1.430e+15
          14        -149.0396413177      -0.0000304194        14           756       +0.0001950567       1.540e+15
          15        -149.0396492228      -0.0000079051        15           810       +0.0002285060       1.650e+15
          16        -149.0396722016      -0.0000229787        16           864       +0.0002006807       1.760e+15
          17        -149.0397139149      -0.0000417134        17           918       +0.0001641892       1.870e+15
          18        -149.0397410585      -0.0000271435        18           972       +0.0001725327       1.980e+15
          19        -149.0397553101      -0.0000142517        19          1026       +0.0001920144       2.090e+15
          20        -149.0397357606      +0.0000195495        20          1080       +0.0001887760       2.200e+15
          21        -149.0397138443      +0.0000219163        21          1134       +0.0002047684       2.310e+15
          22        -149.0397357864      -0.0000219421        22          1188       +0.0002058141       2.420e+15
          23        -149.0397218406      +0.0000139458        23          1242       +0.0002016174       2.530e+15
          24        -149.0397042549      +0.0000175857        24          1296       +0.0002157390       2.640e+15
          25        -149.0397189703      -0.0000147155        25          1350       +0.0001704285       2.750e+15
          26        -149.0397128049      +0.0000061654        26          1404       +0.0001738237       2.860e+15
          27        -149.0397078289      +0.0000049760        27          1458       +0.0001815696       2.970e+15
          28        -149.0397346515      -0.0000268226        28          1512       +0.0001764539       3.080e+15
          29        -149.0397105777      +0.0000240738        29          1566       +0.0001682280       3.190e+15
          30        -149.0396803756      +0.0000302021        30          1620       +0.0001905098       3.300e+15
          31        -149.0396373168      +0.0000430588        31          1674       +0.0002174297       3.410e+15
          32        -149.0396186531      +0.0000186637        32          1728       +0.0002404059       3.520e+15
          33        -149.0396766770      -0.0000580239        33          1782       +0.0002047766       3.630e+15
          34        -149.0397099244      -0.0000332473        34          1836       +0.0001961179       3.740e+15
          35        -149.0396721621      +0.0000377622        35          1890       +0.0001913036       3.850e+15
          36        -149.0396756173      -0.0000034552        36          1944       +0.0001922234       3.960e+15
          37        -149.0397264896      -0.0000508723        37          1998       +0.0001752665       4.070e+15
          38        -149.0397023060      +0.0000241836        38          2052       +0.0001782249       4.180e+15
          39        -149.0396865698      +0.0000157362        39          2106       +0.0001861127       4.290e+15
          40        -149.0397152018      -0.0000286320        40          2160       +0.0001679049       4.400e+15
          41        -149.0396522253      +0.0000629765        41          2214       +0.0002247266       4.510e+15
          42        -149.0396411064      +0.0000111189        42          2268       +0.0002326376       4.620e+15
          43        -149.0396827619      -0.0000416555        43          2322       +0.0002132323       4.730e+15
          44        -149.0396953831      -0.0000126212        44          2376       +0.0002192418       4.840e+15
          45        -149.0396029643      +0.0000924188        45          2430       +0.0002030525       4.950e+15
          46        -149.0395252040      +0.0000777603        46          2484       +0.0002284793       5.060e+15
          47        -149.0396081487      -0.0000829447        47          2538       +0.0002067023       5.170e+15
          48        -149.0395922400      +0.0000159087        48          2592       +0.0002128102       5.280e+15
          49        -149.0395893733      +0.0000028668        49          2646       +0.0002149698       5.390e+15
          50        -149.0396367450      -0.0000473717        50          2700       +0.0001986832       5.500e+15
