#Efci:-149.0519520730
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.9817731215      -0.0567651404         1            54       +0.0049076910       inf
           2        -149.0047435442      -0.0229704227         2           108       +0.0028518373       inf
           3        -149.0421789742      -0.0374354300         3           162       +0.0009399036       inf
           4        -149.0428252558      -0.0006462817         4           216       +0.0000941715       inf
           5        -149.0428544988      -0.0000292430         5           270       +0.0000291004       inf
           6        -149.0428598835      -0.0000053847         6           324       +0.0000136257       inf
           7        -149.0428652413      -0.0000053578         7           378       +0.0000091159       inf
           8        -149.0428679285      -0.0000026872         8           432       +0.0000055707       inf
           9        -149.0428703015      -0.0000023730         9           486       +0.0000024957       inf
          10        -149.0428703036      -0.0000000021        10           540       +0.0000023886       inf
