#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -75.59531876146188      -0.03711627372114         1            32       +0.287942573576       3.674e+14
             2        -75.59854767669246      -0.00322891523058         2            64       +0.079098299878       7.347e+14
             3        -75.59901237762104      -0.00046470092857         3            96       +0.014065952371       1.102e+15
             4        -75.59903515270939      -0.00002277508835         4           128       +0.002676841688       1.469e+15
             5        -75.59903636116019      -0.00000120845080         5           160       +0.001138463044       1.837e+15
             6        -75.59903638005950      -0.00000001889931         6           192       +0.000643485403       2.204e+15
             7        -75.59903641108274      -0.00000003102323         7           224       +0.000605286749       2.572e+15
             8        -75.59903644146299      -0.00000003038025         8           256       +0.000569733758       2.939e+15
             9        -75.59903641967534      +0.00000002178764         9           288       +0.000671025898       3.306e+15
            10        -75.59903644523153      -0.00000002555619        10           320       +0.000472340303       3.674e+15
            11        -75.59903641250186      +0.00000003272967        11           352       +0.000590804188       4.041e+15
            12        -75.59903640827039      +0.00000000423147        12           384       +0.000650508755       4.408e+15
            13        -75.59903643554890      -0.00000002727850        13           416       +0.000569591046       4.776e+15
            14        -75.59903641230657      +0.00000002324232        14           448       +0.000650787763       5.143e+15
            15        -75.59903637711436      +0.00000003519222        15           480       +0.000751829692       5.511e+15
            16        -75.59903642794237      -0.00000005082801        16           512       +0.000594118029       5.878e+15
            17        -75.59903640401453      +0.00000002392784        17           544       +0.000691628539       6.245e+15
            18        -75.59903646210228      -0.00000005808775        18           576       +0.000536504411       6.613e+15
            19        -75.59903643934675      +0.00000002275553        19           608       +0.000660290217       6.980e+15
            20        -75.59903640061097      +0.00000003873578        20           640       +0.000588605359       7.347e+15
            21        -75.59903636497090      +0.00000003564007        21           672       +0.000834676366       7.715e+15
            22        -75.59903642242381      -0.00000005745291        22           704       +0.000522309456       8.082e+15
            23        -75.59903643163724      -0.00000000921344        23           736       +0.000577921281       8.449e+15
            24        -75.59903640249074      +0.00000002914651        24           768       +0.000674504269       8.817e+15
            25        -75.59903645598514      -0.00000005349440        25           800       +0.000430642855       9.184e+15
            26        -75.59903636725110      +0.00000008873404        26           832       +0.000726530695       9.552e+15
            27        -75.59903642591398      -0.00000005866288        27           864       +0.000478229980       9.919e+15
            28        -75.59903645775087      -0.00000003183689        28           896       +0.000546893077       1.029e+16
            29        -75.59903643554701      +0.00000002220386        29           928       +0.000663260799       1.065e+16
            30        -75.59903644989085      -0.00000001434384        30           960       +0.000583091687       1.102e+16
            31        -75.59903639248415      +0.00000005740669        31           992       +0.000805135435       1.139e+16
            32        -75.59903643186678      -0.00000003938263        32          1024       +0.000594041006       1.176e+16
            33        -75.59903639706582      +0.00000003480096        33          1056       +0.000684060802       1.212e+16
            34        -75.59903643606728      -0.00000003900146        34          1088       +0.000558272501       1.249e+16
            35        -75.59903640954478      +0.00000002652250        35          1120       +0.000526060260       1.286e+16
            36        -75.59903645489482      -0.00000004535003        36          1152       +0.000558457351       1.323e+16
            37        -75.59903642545147      +0.00000002944334        37          1184       +0.000538120949       1.359e+16
            38        -75.59903643394321      -0.00000000849174        38          1216       +0.000574394561       1.396e+16
            39        -75.59903642175466      +0.00000001218855        39          1248       +0.000596990455       1.433e+16
            40        -75.59903643934574      -0.00000001759108        40          1280       +0.000518865356       1.469e+16
            41        -75.59903643090365      +0.00000000844209        41          1312       +0.000567359915       1.506e+16
            42        -75.59903642451978      +0.00000000638387        42          1344       +0.000559748407       1.543e+16
            43        -75.59903638245615      +0.00000004206363        43          1376       +0.000812845443       1.580e+16
            44        -75.59903643226853      -0.00000004981239        44          1408       +0.000615467882       1.616e+16
            45        -75.59903637882645      +0.00000005344208        45          1440       +0.000641437118       1.653e+16
            46        -75.59903640794352      -0.00000002911706        46          1472       +0.000606302351       1.690e+16
            47        -75.59903640033943      +0.00000000760409        47          1504       +0.000593732146       1.727e+16
            48        -75.59903643049120      -0.00000003015177        48          1536       +0.000785318971       1.763e+16
            49        -75.59903641455892      +0.00000001593227        49          1568       +0.000617765775       1.800e+16
            50        -75.59903644264054      -0.00000002808162        50          1600       +0.000630231364       1.837e+16
