#Efci:-75.5993068080
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -75.58289040805344      -0.02468792031270         3            96       +1.064774588629       inf
             2        -75.59452122329917      -0.01163081524572         5           160       +0.364179154804       inf
             3        -75.59620053454094      -0.00167931124177         7           224       +0.148105152384       inf
             4        -75.59838920778625      -0.00218867324531         8           256       +0.081784741961       inf
             5        -75.59852497872119      -0.00013577093493        10           320       +0.095301512909       inf
             6        -75.59865487842039      -0.00012989969920        11           352       +0.118537328061       inf
             7        -75.59884190881449      -0.00018703039410        12           384       +0.068066238323       inf
             8        -75.59888114671679      -0.00003923790230        14           448       +0.073980770832       inf
             9        -75.59894646237333      -0.00006531565654        15           480       +0.056911324536       inf
            10        -75.59897227146227      -0.00002580908894        17           544       +0.056552241566       inf
            11        -75.59900927566555      -0.00003700420328        18           576       +0.033444536789       inf
            12        -75.59902853927801      -0.00001926361246        20           640       +0.020142081803       inf
            13        -75.59903176156682      -0.00000322228881        22           704       +0.011485627637       inf
            14        -75.59903532234577      -0.00000356077895        23           736       +0.005261670909       inf
            15        -75.59903559981801      -0.00000027747224        25           800       +0.005268166532       inf
            16        -75.59903605944530      -0.00000045962729        26           832       +0.003723854676       inf
            17        -75.59903612233164      -0.00000006288634        28           896       +0.003802194835       inf
            18        -75.59903623507277      -0.00000011274113        29           928       +0.003145043636       inf
            19        -75.59903627342337      -0.00000003835059        31           992       +0.003131918393       inf
            20        -75.59903634044096      -0.00000006701760        32          1024       +0.002568334908       inf
            21        -75.59903643440646      -0.00000009396550        33          1056       +0.001561606104       inf
            22        -75.59903645081395      -0.00000001640750        35          1120       +0.001240036012       inf
            23        -75.59903647339222      -0.00000002257826        36          1152       +0.000788019723       inf
            24        -75.59903647785248      -0.00000000446026        38          1216       +0.000611669743       inf
            25        -75.59903648394584      -0.00000000609336        39          1248       +0.000286125509       inf
            26        -75.59903648413199      -0.00000000018615        41          1312       +0.000273203731       inf
            27        -75.59903648447552      -0.00000000034353        42          1344       +0.000237638006       inf
            28        -75.59903648468212      -0.00000000020660        43          1376       +0.000231034889       inf
            29        -75.59903648502311      -0.00000000034099        44          1408       +0.000167204762       inf
            30        -75.59903648539208      -0.00000000036897        45          1440       +0.000068594235       inf
            31        -75.59903648543404      -0.00000000004196        46          1472       +0.000033647093       inf
            32        -75.59903648547963      -0.00000000004559        47          1504       +0.000014216929       inf
            33        -75.59903648548766      -0.00000000000803        49          1568       +0.000003582706       inf
            34        -75.59903648548783      -0.00000000000017        50          1600       +0.000001473395       inf
            35        -75.59903648548801      -0.00000000000018        51          1632       +0.000001521803       inf
            36        -75.59903648548807      -0.00000000000006        52          1664       +0.000000525430       inf
            37        -75.59903648548807      +0.00000000000000        53          1696       +0.000000045963       inf
