#Efci:-75.5993068080
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -75.58289015317389      -0.02468766543315         3            96       +1.064780590707       1.102e+19
             2        -75.59452122855643      -0.01163107538254         5           160       +0.364182384492       1.837e+19
             3        -75.59620055269957      -0.00167932414314         7           224       +0.148104125155       2.572e+19
             4        -75.59838919991211      -0.00218864721253         8           256       +0.081802365199       2.939e+19
             5        -75.59852491781247      -0.00013571790036        10           320       +0.095323282069       3.674e+19
             6        -75.59865465685327      -0.00012973904080        11           352       +0.118532841346       4.041e+19
             7        -75.59884163011969      -0.00018697326642        12           384       +0.068194426952       4.408e+19
             8        -75.59888089861219      -0.00003926849250        14           448       +0.074095946949       5.143e+19
             9        -75.59894627439165      -0.00006537577946        15           480       +0.057020661418       5.511e+19
            10        -75.59897216647720      -0.00002589208555        17           544       +0.056635422087       6.245e+19
            11        -75.59900926418328      -0.00003709770608        18           576       +0.033462348921       6.613e+19
            12        -75.59902853894840      -0.00001927476512        20           640       +0.020148599586       7.347e+19
            13        -75.59903176299321      -0.00000322404480        22           704       +0.011489353839       8.082e+19
            14        -75.59903532560851      -0.00000356261530        23           736       +0.005250554475       8.449e+19
            15        -75.59903560964844      -0.00000028403993        25           800       +0.005289632593       9.184e+19
            16        -75.59903607643967      -0.00000046679123        26           832       +0.003678240599       9.552e+19
            17        -75.59903614892458      -0.00000007248491        28           896       +0.003748467435       1.029e+20
            18        -75.59903627442216      -0.00000012549758        29           928       +0.002934102627       1.065e+20
            19        -75.59903631110110      -0.00000003667894        31           992       +0.002909869812       1.139e+20
            20        -75.59903637344188      -0.00000006234077        32          1024       +0.002311242496       1.176e+20
            21        -75.59903644127129      -0.00000006782942        33          1056       +0.001635817318       1.212e+20
            22        -75.59903647138852      -0.00000003011722        35          1120       +0.000588236570       1.286e+20
            23        -75.59903647898673      -0.00000000759822        37          1184       +0.000581024342       1.359e+20
            24        -75.59903648331458      -0.00000000432784        38          1216       +0.000238812211       1.396e+20
            25        -75.59903648439781      -0.00000000108324        39          1248       +0.000210237694       1.433e+20
            26        -75.59903648465128      -0.00000000025346        41          1312       +0.000099442759       1.506e+20
            27        -75.59903648505598      -0.00000000040470        42          1344       +0.000082633844       1.543e+20
            28        -75.59903648518974      -0.00000000013377        44          1408       +0.000082703944       1.616e+20
            29        -75.59903648537797      -0.00000000018822        45          1440       +0.000053518873       1.653e+20
            30        -75.59903648545779      -0.00000000007982        47          1504       +0.000024513526       1.727e+20
            31        -75.59903648546441      -0.00000000000662        48          1536       +0.000016492936       1.763e+20
            32        -75.59903648547626      -0.00000000001185        49          1568       +0.000013736135       1.800e+20
            33        -75.59903648548368      -0.00000000000742        50          1600       +0.000009355338       1.837e+20
            34        -75.59903648548551      -0.00000000000183        52          1664       +0.000007930349       1.910e+20
            35        -75.59903648548651      -0.00000000000099        53          1696       +0.000005707481       1.947e+20
            36        -75.59903648548666      -0.00000000000016        54          1728       +0.000006837956       1.984e+20
            37        -75.59903648548685      -0.00000000000018        55          1760       +0.000005417939       2.021e+20
            38        -75.59903648548708      -0.00000000000023        56          1792       +0.000006168500       2.057e+20
            39        -75.59903648548708      +0.00000000000000        57          1824       +0.000007267801       2.094e+20
