#Efci:-148.8881375281
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -148.83889731155989      -0.05484121249967         3           162       +1.352718371426       1.024e+20
             2        -148.85842692164266      -0.01952961008277         5           270       +0.571668518300       1.706e+20
             3        -148.86305151606857      -0.00462459442591         7           378       +0.368670610199       2.388e+20
             4        -148.86951299078513      -0.00646147471656         8           432       +0.247625323389       2.730e+20
             5        -148.87022867798601      -0.00071568720088        10           540       +0.284611914553       3.412e+20
             6        -148.87127691206936      -0.00104823408336        11           594       +0.246743226728       3.753e+20
             7        -148.87257334864529      -0.00129643657593        12           648       +0.202334737388       4.094e+20
             8        -148.87278459636821      -0.00021124772292        14           756       +0.227402745346       4.777e+20
             9        -148.87315549474931      -0.00037089838111        15           810       +0.192673718085       5.118e+20
            10        -148.87332164574184      -0.00016615099253        16           864       +0.245739060884       5.459e+20
            11        -148.87358157681840      -0.00025993107656        17           918       +0.225450336015       5.800e+20
            12        -148.87402753965156      -0.00044596283317        18           972       +0.179047859899       6.142e+20
            13        -148.87424676296962      -0.00021922331806        20          1080       +0.184592220911       6.824e+20
            14        -148.87462507270251      -0.00037830973289        21          1134       +0.141319313906       7.165e+20
            15        -148.87493213842740      -0.00030706572488        22          1188       +0.184670444250       7.506e+20
            16        -148.87544397709905      -0.00051183867166        23          1242       +0.137371125244       7.848e+20
            17        -148.87616136329822      -0.00071738619917        24          1296       +0.144802144392       8.189e+20
            18        -148.87638785126890      -0.00022648797068        26          1404       +0.158571204277       8.871e+20
            19        -148.87677986138917      -0.00039201012027        27          1458       +0.159004673639       9.213e+20
            20        -148.87696099998021      -0.00018113859105        29          1566       +0.187100587622       9.895e+20
            21        -148.87729926462330      -0.00033826464309        30          1620       +0.182208525475       1.024e+21
            22        -148.87762147750703      -0.00032221288373        31          1674       +0.223114842173       1.058e+21
            23        -148.87814196971169      -0.00052049220466        32          1728       +0.189520299894       1.092e+21
            24        -148.87834964809534      -0.00020767838365        34          1836       +0.205928465878       1.160e+21
            25        -148.87870903237567      -0.00035938428033        35          1890       +0.176252813474       1.194e+21
            26        -148.87885611937767      -0.00014708700201        37          1998       +0.173588674184       1.262e+21
            27        -148.87909643449578      -0.00024031511811        38          2052       +0.132779168319       1.297e+21
            28        -148.87915094868251      -0.00005451418673        40          2160       +0.129223670561       1.365e+21
            29        -148.87924465769524      -0.00009370901273        41          2214       +0.109881616358       1.399e+21
            30        -148.87927684270326      -0.00003218500802        43          2322       +0.105899947887       1.467e+21
            31        -148.87933300807535      -0.00005616537209        44          2376       +0.089277671373       1.501e+21
            32        -148.87935425235204      -0.00002124427670        46          2484       +0.083193473958       1.570e+21
            33        -148.87939032182311      -0.00003606947107        47          2538       +0.068282897953       1.604e+21
            34        -148.87940774984983      -0.00001742802672        48          2592       +0.061603263307       1.638e+21
            35        -148.87942684668923      -0.00001909683940        49          2646       +0.050348116777       1.672e+21
            36        -148.87944855300535      -0.00002170631612        50          2700       +0.027348015477       1.706e+21
            37        -148.87945942444711      -0.00001087144176        52          2808       +0.017750302207       1.774e+21
            38        -148.87946254866165      -0.00000312421454        54          2916       +0.009484205708       1.843e+21
            39        -148.87946401540395      -0.00000146674230        56          3024       +0.006291271961       1.911e+21
            40        -148.87946419983973      -0.00000018443578        58          3132       +0.005527171177       1.979e+21
            41        -148.87946448709289      -0.00000028725316        59          3186       +0.004428834376       2.013e+21
            42        -148.87946461984893      -0.00000013275604        61          3294       +0.003929948616       2.081e+21
            43        -148.87946479697789      -0.00000017712895        62          3348       +0.002159251744       2.115e+21
            44        -148.87946485076728      -0.00000005378939        64          3456       +0.001383504613       2.184e+21
            45        -148.87946485934239      -0.00000000857511        66          3564       +0.001127171712       2.252e+21
            46        -148.87946487371627      -0.00000001437388        67          3618       +0.000837339599       2.286e+21
            47        -148.87946487958891      -0.00000000587264        69          3726       +0.000716687480       2.354e+21
            48        -148.87946488671386      -0.00000000712495        70          3780       +0.000261034162       2.388e+21
            49        -148.87946488860143      -0.00000000188757        72          3888       +0.000090244193       2.457e+21
            50        -148.87946488876864      -0.00000000016720        74          3996       +0.000052813828       2.525e+21
