#Efci:-154.4194058179
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -154.39581310472147      +0.00104404338916         1            15       +0.0015670838       3.200e+09
           2        -154.39856713434665      -0.00275402962518         2            30       +0.0015496427       6.400e+09
           3        -154.39596830526904      +0.00259882907761         3            45       +0.0014844638       9.600e+09
           4        -154.39422705894856      +0.00174124632048         4            60       +0.0014729043       1.280e+10
           5        -154.39059715234555      +0.00362990660301         5            75       +0.0014632332       1.600e+10
           6        -154.40112449134813      -0.01052733900258         6            90       +0.0013931388       1.920e+10
           7        -154.40404828947553      -0.00292379812740         7           105       +0.0013353880       2.240e+10
           8        -154.39957596480363      +0.00447232467189         8           120       +0.0013638933       2.560e+10
           9        -154.39317444520881      +0.00640151959482         9           135       +0.0013124003       2.880e+10
          10        -154.40227778156552      -0.00910333635670        10           150       +0.0014126781       3.200e+10
          11        -154.39860917031672      +0.00366861124880        11           165       +0.0016736553       3.520e+10
          12        -154.39764416654731      +0.00096500376941        12           180       +0.0013989734       3.840e+10
          13        -154.40446055924971      -0.00681639270240        13           195       +0.0014278313       4.160e+10
          14        -154.39856838849931      +0.00589217075040        14           210       +0.0014221428       4.480e+10
          15        -154.39723382507626      +0.00133456342306        15           225       +0.0012788376       4.800e+10
          16        -154.39314937593593      +0.00408444914032        16           240       +0.0014474314       5.120e+10
          17        -154.39547112098876      -0.00232174505283        17           255       +0.0011493103       5.440e+10
          18        -154.39463074849806      +0.00084037249070        18           270       +0.0014613425       5.760e+10
          19        -154.40190179542134      -0.00727104692328        19           285       +0.0012780574       6.080e+10
          20        -154.39742590929947      +0.00447588612187        20           300       +0.0014377823       6.400e+10
          21        -154.39779953595826      -0.00037362665879        21           315       +0.0012575532       6.720e+10
          22        -154.39615519911086      +0.00164433684739        22           330       +0.0014590935       7.040e+10
          23        -154.40190680349224      -0.00575160438137        23           345       +0.0013695842       7.360e+10
          24        -154.39504575747159      +0.00686104602065        24           360       +0.0013015804       7.680e+10
          25        -154.39851451191723      -0.00346875444563        25           375       +0.0014102647       8.000e+10
