#Efci:-154.4194058179
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -154.41845079340868      -0.02159364529805         1            15       +0.0014211942       6.400e+17
           2        -154.41926515327131      -0.00081435986263         2            30       +0.0003285373       1.280e+18
           3        -154.41939534158593      -0.00013018831461         3            45       +0.0000738335       1.920e+18
           4        -154.41940574908205      -0.00001040749612         4            60       +0.0000071274       2.560e+18
           5        -154.41940581234743      -0.00000006326539         5            75       +0.0000012501       3.200e+18
           6        -154.41940581711893      -0.00000000477149         6            90       +0.0000004266       3.840e+18
           7        -154.41940581784104      -0.00000000072211         7           105       +0.0000000657       4.480e+18
           8        -154.41940581787645      -0.00000000003541         8           120       +0.0000000662       5.120e+18
           9        -154.41940581784655      +0.00000000002990         9           135       +0.0000000582       5.760e+18
          10        -154.41940581786918      -0.00000000002262        10           150       +0.0000000572       6.400e+18
          11        -154.41940581784488      +0.00000000002430        11           165       +0.0000000659       7.040e+18
          12        -154.41940581786019      -0.00000000001532        12           180       +0.0000000592       7.680e+18
          13        -154.41940581785377      +0.00000000000642        13           195       +0.0000000585       8.320e+18
          14        -154.41940581786227      -0.00000000000850        14           210       +0.0000000634       8.960e+18
          15        -154.41940581786562      -0.00000000000335        15           225       +0.0000000532       9.600e+18
          16        -154.41940581786923      -0.00000000000361        16           240       +0.0000000699       1.024e+19
          17        -154.41940581779855      +0.00000000007068        17           255       +0.0000000660       1.088e+19
          18        -154.41940581783007      -0.00000000003152        18           270       +0.0000000462       1.152e+19
          19        -154.41940581783479      -0.00000000000472        19           285       +0.0000000574       1.216e+19
          20        -154.41940581784036      -0.00000000000557        20           300       +0.0000000472       1.280e+19
          21        -154.41940581787316      -0.00000000003280        21           315       +0.0000000446       1.344e+19
          22        -154.41940581787983      -0.00000000000668        22           330       +0.0000000548       1.408e+19
          23        -154.41940581784689      +0.00000000003294        23           345       +0.0000000504       1.472e+19
          24        -154.41940581783072      +0.00000000001617        24           360       +0.0000000537       1.536e+19
          25        -154.41940581786281      -0.00000000003209        25           375       +0.0000000478       1.600e+19
