#Efci:-154.4194058179
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -154.31872330667099      +0.07813384143964         1            15       +0.0014211960       6.400e+17
           2        -153.95637887707269      +0.36234442959829         2            30       +0.0029448066       1.280e+18
           3        -154.38940631930046      -0.43302744222777         3            45       +0.0007939090       1.920e+18
           4        -154.39764052161399      -0.00823420231353         4            60       +0.0006484574       2.560e+18
           5        -154.41788195881443      -0.02024143720044         5            75       +0.0001831475       3.200e+18
           6        -154.41927457924629      -0.00139262043186         6            90       +0.0000429769       3.840e+18
           7        -154.41929047967005      -0.00001590042376         7           105       +0.0000425145       4.480e+18
           8        -154.41938605412287      -0.00009557445281         8           120       +0.0000167136       5.120e+18
           9        -154.41940238272866      -0.00001632860580         9           135       +0.0000066616       5.760e+18
          10        -154.41940196166169      +0.00000042106697        10           150       +0.0000073719       6.400e+18
          11        -154.41940132962458      +0.00000063203711        11           165       +0.0000078770       7.040e+18
          12        -154.41939976707167      +0.00000156255291        12           180       +0.0000092575       7.680e+18
          13        -154.41940409197696      -0.00000432490529        13           195       +0.0000049592       8.320e+18
          14        -154.41940444730616      -0.00000035532921        14           210       +0.0000045027       8.960e+18
          15        -154.41940495407621      -0.00000050677005        15           225       +0.0000041200       9.600e+18
          16        -154.41940506580787      -0.00000011173165        16           240       +0.0000039884       1.024e+19
          17        -154.41940507179027      -0.00000000598240        17           255       +0.0000041868       1.088e+19
          18        -154.41940516499241      -0.00000009320215        18           270       +0.0000033689       1.152e+19
          19        -154.41940534633673      -0.00000018134432        19           285       +0.0000026282       1.216e+19
          20        -154.41940542866061      -0.00000008232388        20           300       +0.0000028869       1.280e+19
          21        -154.41940549668655      -0.00000006802594        21           315       +0.0000023946       1.344e+19
          22        -154.41940522075606      +0.00000027593049        22           330       +0.0000031003       1.408e+19
          23        -154.41940558098537      -0.00000036022931        23           345       +0.0000022766       1.472e+19
          24        -154.41940549846825      +0.00000008251712        24           360       +0.0000024356       1.536e+19
          25        -154.41940522894814      +0.00000026952011        25           375       +0.0000031735       1.600e+19
