#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.53542510675629      +0.18639403580278         1           117       +0.0022080665       2.360e+12
           2        -229.91255108598668      +0.62287402076961         2           234       +0.0041797870       4.720e+12
           3        -230.65961324689061      -0.74706216090394         3           351       +0.0018518510       7.080e+12
           4        -230.72803539943018      -0.06842215253957         4           468       +0.0012741749       9.440e+12
           5        -230.72098307653249      +0.00705232289769         5           585       +0.0014678751       1.180e+13
           6        -230.76635801311909      -0.04537493658660         6           702       +0.0008797958       1.416e+13
           7        -230.77018665363045      -0.00382864051136         7           819       +0.0008231044       1.652e+13
           8        -230.76626658492589      +0.00392006870456         8           936       +0.0009122131       1.888e+13
           9        -230.76832237089087      -0.00205578596498         9          1053       +0.0008736005       2.124e+13
          10        -230.76781888638325      +0.00050348450762        10          1170       +0.0008870490       2.360e+13
          11        -230.76880303053034      -0.00098414414708        11          1287       +0.0008592058       2.596e+13
          12        -230.76884185818244      -0.00003882765211        12          1404       +0.0008622834       2.832e+13
          13        -230.76314612729971      +0.00569573088274        13          1521       +0.0010081089       3.068e+13
          14        -230.74604419017530      +0.01710193712441        14          1638       +0.0012454777       3.304e+13
          15        -230.76807494224775      -0.02203075207245        15          1755       +0.0009335345       3.540e+13
          16        -230.76238720770471      +0.00568773454305        16          1872       +0.0009039303       3.776e+13
          17        -230.76291563637801      -0.00052842867331        17          1989       +0.0009643850       4.012e+13
          18        -230.78119120746160      -0.01827557108359        18          2106       +0.0005996682       4.248e+13
          19        -230.77803556633719      +0.00315564112441        19          2223       +0.0006814956       4.484e+13
          20        -230.77802201186600      +0.00001355447120        20          2340       +0.0006980451       4.720e+13
          21        -230.78309194413541      -0.00506993226941        21          2457       +0.0005370213       4.956e+13
          22        -230.78259281955405      +0.00049912458135        22          2574       +0.0005460036       5.192e+13
          23        -230.77909831304180      +0.00349450651225        23          2691       +0.0006637524       5.428e+13
          24        -230.78134580378224      -0.00224749074044        24          2808       +0.0005872188       5.664e+13
          25        -230.78017483511437      +0.00117096866788        25          2925       +0.0005984466       5.900e+13
