#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.74537280932648      -0.02355366676741         1           117       +0.0027569622       4.720e+10
           2        -230.75943474361787      -0.01406193429139         2           234       +0.0024437925       9.440e+10
           3        -230.75269196214731      +0.00674278147056         3           351       +0.0019039833       1.416e+11
           4        -230.76241558719778      -0.00972362505047         4           468       +0.0018431312       1.888e+11
           5        -230.75868960641418      +0.00372598078360         5           585       +0.0016587120       2.360e+11
           6        -230.76520192742609      -0.00651232101191         6           702       +0.0015960500       2.832e+11
           7        -230.76752900829936      -0.00232708087327         7           819       +0.0015815143       3.304e+11
           8        -230.76721039020740      +0.00031861809197         8           936       +0.0015507310       3.776e+11
           9        -230.76140866865856      +0.00580172154883         9          1053       +0.0015624254       4.248e+11
          10        -230.75914890232963      +0.00225976632893        10          1170       +0.0016271675       4.720e+11
          11        -230.76520713238992      -0.00605823006029        11          1287       +0.0015194524       5.192e+11
          12        -230.76476761557265      +0.00043951681727        12          1404       +0.0016003854       5.664e+11
          13        -230.76384403188055      +0.00092358369210        13          1521       +0.0015403828       6.136e+11
          14        -230.76573562952558      -0.00189159764503        14          1638       +0.0015031140       6.608e+11
          15        -230.76646168355168      -0.00072605402610        15          1755       +0.0015349832       7.080e+11
          16        -230.75947801511887      +0.00698366843281        16          1872       +0.0016285233       7.552e+11
          17        -230.75801905926306      +0.00145895585581        17          1989       +0.0017218293       8.024e+11
          18        -230.76071284087175      -0.00269378160868        18          2106       +0.0016625523       8.496e+11
          19        -230.77087428215543      -0.01016144128369        19          2223       +0.0015006812       8.968e+11
          20        -230.76220325695985      +0.00867102519558        20          2340       +0.0016706361       9.440e+11
          21        -230.76445859255068      -0.00225533559083        21          2457       +0.0016571946       9.912e+11
          22        -230.76197192289968      +0.00248666965101        22          2574       +0.0015671392       1.038e+12
          23        -230.76771450923692      -0.00574258633725        23          2691       +0.0014423511       1.086e+12
          24        -230.76279048579227      +0.00492402344466        24          2808       +0.0015247113       1.133e+12
          25        -230.76420309413876      -0.00141260834650        25          2925       +0.0015772494       1.180e+12
