#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -230.52063443431641      +0.20118470824266         1           117       +0.0022114663       4.720e+12
           2        -229.66307863291399      +0.85755580140241         2           234       +0.0042798150       9.440e+12
           3        -230.66116156536057      -0.99808293244658         3           351       +0.0016977630       1.416e+13
           4        -230.69231611847971      -0.03115455311914         4           468       +0.0013140271       1.888e+13
           5        -230.73717920216856      -0.04486308368885         5           585       +0.0010039860       2.360e+13
           6        -230.74458657297964      -0.00740737081108         6           702       +0.0008946604       2.832e+13
           7        -230.75414005840247      -0.00955348542283         7           819       +0.0008080748       3.304e+13
           8        -230.75307628616528      +0.00106377223719         8           936       +0.0008028258       3.776e+13
           9        -230.75247770215736      +0.00059858400792         9          1053       +0.0008262182       4.248e+13
          10        -230.75551170401860      -0.00303400186124        10          1170       +0.0007756511       4.720e+13
          11        -230.75464348389380      +0.00086822012480        11          1287       +0.0007874040       5.192e+13
          12        -230.75501719176881      -0.00037370787501        12          1404       +0.0007855983       5.664e+13
          13        -230.77168418556423      -0.01666699379541        13          1521       +0.0006076365       6.136e+13
          14        -230.76509108424145      +0.00659310132278        14          1638       +0.0007153400       6.608e+13
          15        -230.74806894338866      +0.01702214085279        15          1755       +0.0009340695       7.080e+13
          16        -230.73105783945519      +0.01701110393347        16          1872       +0.0010674195       7.552e+13
          17        -230.78153655620292      -0.05047871674773        17          1989       +0.0004066485       8.024e+13
          18        -230.78106720854129      +0.00046934766164        18          2106       +0.0004328545       8.496e+13
          19        -230.77852656168412      +0.00254064685717        19          2223       +0.0004977978       8.968e+13
          20        -230.78013959333188      -0.00161303164776        20          2340       +0.0004553863       9.440e+13
          21        -230.78026180814371      -0.00012221481182        21          2457       +0.0004547907       9.912e+13
          22        -230.78047789132799      -0.00021608318428        22          2574       +0.0004466560       1.038e+14
          23        -230.78090940136738      -0.00043151003939        23          2691       +0.0004374910       1.086e+14
          24        -230.77588842585979      +0.00502097550759        24          2808       +0.0005066649       1.133e+14
          25        -230.75358479376087      +0.02230363209893        25          2925       +0.0008785077       1.180e+14
