#Efci:-38.8089954648
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -38.79284660251418      -0.05483616435949         1           204       +0.0030378641       4.100e+12
           2        -38.80335255324367      -0.01050595072949         2           408       +0.0012281311       8.200e+12
           3        -38.80726905615087      -0.00391650290720         3           612       +0.0004207768       1.230e+13
           4        -38.80798316895942      -0.00071411280856         4           816       +0.0002938799       1.640e+13
           5        -38.80824304665676      -0.00025987769733         5          1020       +0.0002725557       2.050e+13
           6        -38.80839490537112      -0.00015185871436         6          1224       +0.0002427814       2.460e+13
           7        -38.80848359958970      -0.00008869421858         7          1428       +0.0002339009       2.870e+13
           8        -38.80850286780905      -0.00001926821935         8          1632       +0.0002217982       3.280e+13
           9        -38.80853607300799      -0.00003320519894         9          1836       +0.0002126607       3.690e+13
          10        -38.80854149688085      -0.00000542387286        10          2040       +0.0002139275       4.100e+13
          11        -38.80855696668839      -0.00001546980754        11          2244       +0.0002085618       4.510e+13
          12        -38.80855677621675      +0.00000019047164        12          2448       +0.0002081090       4.920e+13
          13        -38.80855941400815      -0.00000263779140        13          2652       +0.0002128817       5.330e+13
          14        -38.80857558871851      -0.00001617471036        14          2856       +0.0002028781       5.740e+13
          15        -38.80855870045134      +0.00001688826717        15          3060       +0.0002150245       6.150e+13
          16        -38.80855648532878      +0.00000221512256        16          3264       +0.0002160005       6.560e+13
          17        -38.80856503289696      -0.00000854756819        17          3468       +0.0002095067       6.970e+13
          18        -38.80856495107263      +0.00000008182433        18          3672       +0.0002047914       7.380e+13
          19        -38.80856622602816      -0.00000127495552        19          3876       +0.0002167452       7.790e+13
          20        -38.80856790130651      -0.00000167527836        20          4080       +0.0001974933       8.200e+13
          21        -38.80857210646812      -0.00000420516161        21          4284       +0.0002043685       8.610e+13
          22        -38.80856155348400      +0.00001055298412        22          4488       +0.0002036161       9.020e+13
          23        -38.80856605840073      -0.00000450491672        23          4692       +0.0002053874       9.430e+13
          24        -38.80856839964311      -0.00000234124239        24          4896       +0.0002083169       9.840e+13
          25        -38.80855914247478      +0.00000925716834        25          5100       +0.0002123557       1.025e+14
