#Efci:-38.8089954648
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -38.80335401830247      -0.06534358014778         1           204       +0.0030647886       8.200e+12
           2        -38.80661075332571      -0.00325673502324         2           408       +0.0008516348       1.640e+13
           3        -38.80754860048396      -0.00093784715826         3           612       +0.0004035951       2.460e+13
           4        -38.80748678860322      +0.00006181188074         4           816       +0.0003723458       3.280e+13
           5        -38.80768148099274      -0.00019469238952         5          1020       +0.0003334769       4.100e+13
           6        -38.80748571352756      +0.00019576746519         6          1224       +0.0003233739       4.920e+13
           7        -38.80681888156536      +0.00066683196220         7          1428       +0.0002726554       5.740e+13
           8        -38.80745297517787      -0.00063409361252         8          1632       +0.0002465547       6.560e+13
           9        -38.80751077732103      -0.00005780214315         9          1836       +0.0002533333       7.380e+13
          10        -38.80758411422491      -0.00007333690388        10          2040       +0.0002500589       8.200e+13
          11        -38.80732688955602      +0.00025722466889        11          2244       +0.0002435362       9.020e+13
          12        -38.80668525379838      +0.00064163575764        12          2448       +0.0002564027       9.840e+13
          13        -38.80764174038419      -0.00095648658581        13          2652       +0.0002394181       1.066e+14
          14        -38.80745120651242      +0.00019053387177        14          2856       +0.0002427189       1.148e+14
          15        -38.80766939351772      -0.00021818700530        15          3060       +0.0002437604       1.230e+14
          16        -38.80749580512137      +0.00017358839635        16          3264       +0.0002458574       1.312e+14
          17        -38.80757207393168      -0.00007626881031        17          3468       +0.0002508127       1.394e+14
          18        -38.80703327809600      +0.00053879583568        18          3672       +0.0002604389       1.476e+14
          19        -38.80756467367981      -0.00053139558381        19          3876       +0.0002550883       1.558e+14
          20        -38.80765003384361      -0.00008536016379        20          4080       +0.0002441258       1.640e+14
          21        -38.80754013625774      +0.00010989758587        21          4284       +0.0002544613       1.722e+14
          22        -38.80760317849106      -0.00006304223332        22          4488       +0.0002767985       1.804e+14
          23        -38.80743491983552      +0.00016825865554        23          4692       +0.0002640453       1.886e+14
          24        -38.80743618035062      -0.00000126051511        24          4896       +0.0002606170       1.968e+14
          25        -38.80769591919805      -0.00025973884743        25          5100       +0.0002474957       2.050e+14
