#Efci:-153.4297174231
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -153.34465257044963      +0.00983291217568         1            26       +0.0013478742       5.400e+09
           2        -153.34205749795618      +0.00259507249345         2            52       +0.0014650366       1.080e+10
           3        -153.34053158333245      +0.00152591462373         3            78       +0.0015960955       1.620e+10
           4        -153.34289320634593      -0.00236162301348         4           104       +0.0014877498       2.160e+10
           5        -153.33806189777138      +0.00483130857455         5           130       +0.0014711468       2.700e+10
           6        -153.34087133450615      -0.00280943673476         6           156       +0.0016552643       3.240e+10
           7        -153.34081764551635      +0.00005368898979         7           182       +0.0014758202       3.780e+10
           8        -153.33699243304605      +0.00382521247030         8           208       +0.0015860819       4.320e+10
           9        -153.34580429360113      -0.00881186055508         9           234       +0.0016619720       4.860e+10
          10        -153.34500099225716      +0.00080330134398        10           260       +0.0015591305       5.400e+10
          11        -153.34402876362921      +0.00097222862794        11           286       +0.0014386229       5.940e+10
          12        -153.33992108459287      +0.00410767903634        12           312       +0.0016000031       6.480e+10
          13        -153.34814702551085      -0.00822594091798        13           338       +0.0015158981       7.020e+10
          14        -153.33552511925558      +0.01262190625528        14           364       +0.0014917989       7.560e+10
          15        -153.34460394382535      -0.00907882456977        15           390       +0.0016766493       8.100e+10
          16        -153.34009248246403      +0.00451146136132        16           416       +0.0015724747       8.640e+10
          17        -153.34757369192334      -0.00748120945931        17           442       +0.0013596556       9.180e+10
          18        -153.34159373567658      +0.00597995624676        18           468       +0.0014613282       9.720e+10
          19        -153.33994126566964      +0.00165247000695        19           494       +0.0015727189       1.026e+11
          20        -153.35566576951217      -0.01572450384253        20           520       +0.0016187942       1.080e+11
          21        -153.34361601343454      +0.01204975607763        21           546       +0.0015258959       1.134e+11
          22        -153.34301939529649      +0.00059661813805        22           572       +0.0014735313       1.188e+11
          23        -153.34344015099779      -0.00042075570130        23           598       +0.0015452049       1.242e+11
          24        -153.34891620543993      -0.00547605444214        24           624       +0.0015588686       1.296e+11
          25        -153.34023582491042      +0.00868038052951        25           650       +0.0014861405       1.350e+11
