#Efci:-153.4297174231
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -153.37718415435830      -0.02269867173300         1            26       +0.0012265795       1.080e+14
           2        -153.38326512105576      -0.00608096669745         2            52       +0.0006544902       2.160e+14
           3        -153.38651087873532      -0.00324575767957         3            78       +0.0002430716       3.240e+14
           4        -153.38685255693599      -0.00034167820067         4           104       +0.0000639580       4.320e+14
           5        -153.38692665636657      -0.00007409943058         5           130       +0.0000224815       5.400e+14
           6        -153.38697594755465      -0.00004929118808         6           156       +0.0000228447       6.480e+14
           7        -153.38700360494039      -0.00002765738574         7           182       +0.0000257376       7.560e+14
           8        -153.38684052306206      +0.00016308187833         8           208       +0.0000260123       8.640e+14
           9        -153.38683886321706      +0.00000165984500         9           234       +0.0000197232       9.720e+14
          10        -153.38683983702410      -0.00000097380703        10           260       +0.0000102001       1.080e+15
          11        -153.38683937116954      +0.00000046585455        11           286       +0.0000109531       1.188e+15
          12        -153.38683916866944      +0.00000020250010        12           312       +0.0000086570       1.296e+15
          13        -153.38683971661339      -0.00000054794396        13           338       +0.0000082012       1.404e+15
          14        -153.38683899836565      +0.00000071824775        14           364       +0.0000071072       1.512e+15
          15        -153.38683902935455      -0.00000003098890        15           390       +0.0000072265       1.620e+15
          16        -153.38683919836171      -0.00000016900717        16           416       +0.0000078353       1.728e+15
          17        -153.38683718894100      +0.00000200942071        17           442       +0.0000093202       1.836e+15
          18        -153.38683916145945      -0.00000197251845        18           468       +0.0000090053       1.944e+15
          19        -153.38683960622575      -0.00000044476630        19           494       +0.0000095225       2.052e+15
          20        -153.38683773744953      +0.00000186877622        20           520       +0.0000084680       2.160e+15
          21        -153.38684009570483      -0.00000235825530        21           546       +0.0000078994       2.268e+15
          22        -153.38683934382499      +0.00000075187984        22           572       +0.0000074679       2.376e+15
          23        -153.38683915430218      +0.00000018952281        23           598       +0.0000064914       2.484e+15
          24        -153.38683950689705      -0.00000035259487        24           624       +0.0000081613       2.592e+15
          25        -153.38683998675916      -0.00000047986211        25           650       +0.0000075683       2.700e+15
