#Efci:-153.4297174231
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -153.25671689873909      +0.09776858388622         1            26       +0.0012254719       1.080e+16
           2        -152.61841748065686      +0.63829941808223         2            52       +0.0027331851       2.160e+16
           3        -153.29565911050119      -0.67724162984433         3            78       +0.0010105798       3.240e+16
           4        -153.32576128211804      -0.03010217161685         4           104       +0.0008303717       4.320e+16
           5        -153.32640041841384      -0.00063913629580         5           130       +0.0008134831       5.400e+16
           6        -153.32578696416815      +0.00061345424569         6           156       +0.0007914144       6.480e+16
           7        -153.32620038661926      -0.00041342245112         7           182       +0.0007454995       7.560e+16
           8        -153.35593219333333      -0.02973180671407         8           208       +0.0005734716       8.640e+16
           9        -153.33708760401692      +0.01884458931642         9           234       +0.0007289540       9.720e+16
          10        -153.37769041625504      -0.04060281223812        10           260       +0.0003182850       1.080e+17
          11        -153.37809298076314      -0.00040256450811        11           286       +0.0003160467       1.188e+17
          12        -153.38367663140895      -0.00558365064580        12           312       +0.0001935052       1.296e+17
          13        -153.38487512085925      -0.00119848945030        13           338       +0.0001567784       1.404e+17
          14        -153.38608426877968      -0.00120914792043        14           364       +0.0000979650       1.512e+17
          15        -153.38544153096589      +0.00064273781379        15           390       +0.0001168998       1.620e+17
          16        -153.38615811315989      -0.00071658219400        16           416       +0.0000835292       1.728e+17
          17        -153.38632381074700      -0.00016569758711        17           442       +0.0000774801       1.836e+17
          18        -153.38642456439300      -0.00010075364600        18           468       +0.0000765925       1.944e+17
          19        -153.38616906571650      +0.00025549867649        19           494       +0.0000937488       2.052e+17
          20        -153.38637998816694      -0.00021092245044        20           520       +0.0000752628       2.160e+17
          21        -153.38649272259332      -0.00011273442638        21           546       +0.0000652773       2.268e+17
          22        -153.38642388504488      +0.00006883754844        22           572       +0.0000696353       2.376e+17
          23        -153.38625659068927      +0.00016729435561        23           598       +0.0000807485       2.484e+17
          24        -153.38629661517652      -0.00004002448725        24           624       +0.0000866062       2.592e+17
          25        -153.38619017015284      +0.00010644502368        25           650       +0.0000888443       2.700e+17
