#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.64793063283973      -0.02319350809291         1            38       +0.0021844341       7.800e+13
           2        -15.65007500215419      -0.00214436931445         2            76       +0.0006280885       1.560e+14
           3        -15.65040619157541      -0.00033118942123         3           114       +0.0000905416       2.340e+14
           4        -15.65043243688270      -0.00002624530729         4           152       +0.0000280875       3.120e+14
           5        -15.65043483941055      -0.00000240252784         5           190       +0.0000147401       3.900e+14
           6        -15.65043493468239      -0.00000009527184         6           228       +0.0000116371       4.680e+14
           7        -15.65043490667020      +0.00000002801219         7           266       +0.0000085546       5.460e+14
           8        -15.65043492565253      -0.00000001898233         8           304       +0.0000098406       6.240e+14
           9        -15.65043495227847      -0.00000002662595         9           342       +0.0000094206       7.020e+14
          10        -15.65043488600608      +0.00000006627240        10           380       +0.0000093133       7.800e+14
          11        -15.65043492044135      -0.00000003443527        11           418       +0.0000085080       8.580e+14
          12        -15.65043490898083      +0.00000001146052        12           456       +0.0000081533       9.360e+14
          13        -15.65043490974355      -0.00000000076272        13           494       +0.0000095735       1.014e+15
          14        -15.65043491708813      -0.00000000734458        14           532       +0.0000091594       1.092e+15
          15        -15.65043492270896      -0.00000000562083        15           570       +0.0000093554       1.170e+15
          16        -15.65043493054409      -0.00000000783513        16           608       +0.0000091942       1.248e+15
          17        -15.65043492809399      +0.00000000245010        17           646       +0.0000085215       1.326e+15
          18        -15.65043487163998      +0.00000005645401        18           684       +0.0000087889       1.404e+15
          19        -15.65043494725325      -0.00000007561327        19           722       +0.0000084715       1.482e+15
          20        -15.65043489645471      +0.00000005079854        20           760       +0.0000097496       1.560e+15
          21        -15.65043491768771      -0.00000002123300        21           798       +0.0000083895       1.638e+15
          22        -15.65043488987872      +0.00000002780899        22           836       +0.0000096168       1.716e+15
          23        -15.65043493410163      -0.00000004422290        23           874       +0.0000089992       1.794e+15
          24        -15.65043492604467      +0.00000000805696        24           912       +0.0000084575       1.872e+15
          25        -15.65043493589935      -0.00000000985468        25           950       +0.0000078778       1.950e+15
